OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
68620,Geary Blvd&Webster St NE-NS/BZ,GEARWEB0,GEARWEBS,4769,37.784641,-122.431021,1,WEBSTER ST,GEARY BLVD,NS,NE,BZ,0,1720006111000,15517067,146,5,POINT (-122.431021 37.784641),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,11,39,101,101
66727,5th St&Folsom St W-NS/BZ,.5STFOL0,5STFOLS,3168,37.78031,-122.40357,,FOLSOM ST,05TH ST,NS,WE,BZ,0,1720006111000,15519799,146,6,POINT (-122.40357 37.78031),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,1,10,34,32,32
66465,211 Corbett Ave N-MB/SB,CRBTH210,CRBTH211,4162,37.7618,-122.442841,,CORBIN PL,CORBETT AVE,MB,NO,,0,1720006111000,15516259,146,8,POINT (-122.442841 37.7618),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,5,5,115,115
65869,Church St&24TH St SE-NS/SI,CHUR24S1,CHUR24ST,3996,37.751591,-122.42735,,24TH ST,CHURCH ST,NS,SE,SI,0,1720006111000,15523675,146,8,POINT (-122.42735 37.751591),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,5,22,52,52
68476,Transit Center Bay D,TBT BAYD,,7916,37.789975,-122.395206,,BEALE ST,HOWARD ST,,,,0,1720006111000,15525803,146,6,POINT (-122.395206 37.789975),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,1,10,8,32,32
67072,Vicente St&West Portal Ave N-FS/BZ,VCTEW.P1,,8085,37.739849,-122.467117,,WEST PORTAL AVE,VICENTE ST,,,,0,1720006111000,15515461,146,7,POINT (-122.467117 37.739849),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,41,46,46
68324,Balboa St&10TH Ave SW-NS/PS,BBOA10A1,BBOA10AV,3039,37.776967,-122.468388,,10TH AVE,BALBOA ST,NS,SW,,0,1720006111000,15514783,146,1,POINT (-122.468388 37.776967),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,11,5,5
68652,Mission St&22nd St NE-FS/BB,MISS22S1,MISS22ST,5561,37.75582,-122.41871,,22ND ST,MISSION ST,FS,NE,BB,0,1720006111000,15518723,146,9,POINT (-122.41871 37.75582),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,2,20,53,53
67384,Panorama Dr&Dellbrook Ave S-NS,PNRMDBR1,PNRMDBRK,5981,37.753457,-122.452626,,DELLBROOK AVE,PANORAMA DR,NS,SO,,0,1720006111000,15520006,146,7,POINT (-122.452626 37.753457),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,8,38,48,48
68565,Geary Blvd&33RD Ave NW-FS/BZ,GEAR33AV,GEAR33AV,4278,37.779798,-122.493445,1,33RD AVE,GEARY BLVD,FS,NW,BZ,0,1720006111000,15516238,146,1,POINT (-122.493445 37.779798),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,29,8,8
