Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 19-20,January 2020,SATURDAY,Muni Metro,"80,860"
FY 19-20,January 2020,WEEKDAY,Muni Metro,"153,660"
FY 19-20,February 2020,SUNDAY,Muni Metro,"72,280"
FY 19-20,February 2020,SATURDAY,Muni Metro,"85,700"
FY 19-20,February 2020,WEEKDAY,Muni Metro,"162,850"
FY 19-20,March 2020,SUNDAY,Muni Metro,"72,700"
FY 19-20,March 2020,SATURDAY,Muni Metro,"86,200"
FY 19-20,March 2020,WEEKDAY,Muni Metro,"163,800"
FY 20-21,December 2020,SUNDAY,Muni Metro,340
FY 20-21,December 2020,SATURDAY,Muni Metro,330
FY 20-21,December 2020,WEEKDAY,Muni Metro,250
FY 20-21,January 2021,SUNDAY,Muni Metro,"1,440"
FY 20-21,January 2021,SATURDAY,Muni Metro,"1,750"
FY 20-21,January 2021,WEEKDAY,Muni Metro,"1,710"
FY 20-21,February 2021,SUNDAY,Muni Metro,"3,480"
FY 20-21,February 2021,SATURDAY,Muni Metro,"4,060"
FY 20-21,February 2021,WEEKDAY,Muni Metro,"5,280"
FY 20-21,March 2021,SUNDAY,Muni Metro,"3,730"
FY 20-21,March 2021,SATURDAY,Muni Metro,"4,790"
FY 20-21,March 2021,WEEKDAY,Muni Metro,"5,600"
FY 20-21,April 2021,SUNDAY,Muni Metro,"4,310"
FY 20-21,April 2021,SATURDAY,Muni Metro,"5,080"
FY 20-21,April 2021,WEEKDAY,Muni Metro,"6,340"
FY 20-21,May 2021,SUNDAY,Muni Metro,"11,110"
FY 20-21,May 2021,SATURDAY,Muni Metro,"11,490"
FY 20-21,May 2021,WEEKDAY,Muni Metro,"20,680"
FY 20-21,June 2021,SUNDAY,Muni Metro,"14,540"
FY 20-21,June 2021,SATURDAY,Muni Metro,"19,250"
FY 20-21,June 2021,WEEKDAY,Muni Metro,"23,840"
FY 21-22,July 2021,SUNDAY,Muni Metro,"19,920"
FY 21-22,July 2021,SATURDAY,Muni Metro,"24,590"
FY 21-22,July 2021,WEEKDAY,Muni Metro,"28,740"
FY 21-22,August 2021,SUNDAY,Muni Metro,"22,310"
FY 21-22,August 2021,SATURDAY,Muni Metro,"26,360"
FY 21-22,August 2021,WEEKDAY,Muni Metro,"33,320"
FY 21-22,September 2021,SUNDAY,Muni Metro,"28,120"
FY 21-22,September 2021,SATURDAY,Muni Metro,"31,330"
FY 21-22,September 2021,WEEKDAY,Muni Metro,"41,950"
FY 21-22,October 2021,SUNDAY,Muni Metro,"27,560"
FY 21-22,October 2021,SATURDAY,Muni Metro,"36,240"
FY 21-22,October 2021,WEEKDAY,Muni Metro,"44,280"
FY 21-22,November 2021,SUNDAY,Muni Metro,"25,260"
FY 21-22,November 2021,SATURDAY,Muni Metro,"33,960"
FY 21-22,November 2021,WEEKDAY,Muni Metro,"46,040"
FY 21-22,December 2021,SUNDAY,Muni Metro,"24,580"
FY 21-22,December 2021,SATURDAY,Muni Metro,"30,530"
FY 21-22,December 2021,WEEKDAY,Muni Metro,"42,900"
FY 21-22,January 2022,SUNDAY,Muni Metro,"25,870"
FY 21-22,January 2022,SATURDAY,Muni Metro,"29,150"
FY 21-22,January 2022,WEEKDAY,Muni Metro,"40,450"
FY 21-22,February 2022,SUNDAY,Muni Metro,"28,900"
FY 21-22,February 2022,SATURDAY,Muni Metro,"37,160"
FY 21-22,February 2022,WEEKDAY,Muni Metro,"48,640"
FY 21-22,March 2022,SUNDAY,Muni Metro,"25,540"
FY 21-22,March 2022,SATURDAY,Muni Metro,"38,960"
FY 21-22,March 2022,WEEKDAY,Muni Metro,"54,060"
FY 21-22,April 2022,SUNDAY,Muni Metro,"26,110"
FY 21-22,April 2022,SATURDAY,Muni Metro,"41,850"
FY 21-22,April 2022,WEEKDAY,Muni Metro,"56,940"
FY 21-22,May 2022,SUNDAY,Muni Metro,"32,040"
FY 21-22,May 2022,SATURDAY,Muni Metro,"37,730"
FY 21-22,May 2022,WEEKDAY,Muni Metro,"58,290"
FY 21-22,June 2022,SUNDAY,Muni Metro,"48,700"
FY 21-22,June 2022,SATURDAY,Muni Metro,"45,290"
FY 21-22,June 2022,WEEKDAY,Muni Metro,"58,500"
FY 22-23,July 2022,SUNDAY,Muni Metro,"34,530"
FY 22-23,July 2022,SATURDAY,Muni Metro,"42,890"
FY 22-23,July 2022,WEEKDAY,Muni Metro,"56,490"
FY 22-23,August 2022,SUNDAY,Muni Metro,"39,120"
FY 22-23,August 2022,SATURDAY,Muni Metro,"46,080"
FY 22-23,August 2022,WEEKDAY,Muni Metro,"61,500"
FY 22-23,September 2022,SUNDAY,Muni Metro,"41,460"
FY 22-23,September 2022,SATURDAY,Muni Metro,"53,300"
FY 22-23,September 2022,WEEKDAY,Muni Metro,"68,520"
FY 22-23,October 2022,SUNDAY,Muni Metro,"40,840"
FY 22-23,October 2022,SATURDAY,Muni Metro,"49,250"
FY 22-23,October 2022,WEEKDAY,Muni Metro,"69,720"
FY 22-23,November 2022,SUNDAY,Muni Metro,"37,020"
FY 22-23,November 2022,SATURDAY,Muni Metro,"51,990"
FY 22-23,November 2022,WEEKDAY,Muni Metro,"65,840"
FY 22-23,December 2022,SUNDAY,Muni Metro,"39,470"
FY 22-23,December 2022,SATURDAY,Muni Metro,"40,390"
FY 22-23,December 2022,WEEKDAY,Muni Metro,"60,750"
FY 22-23,January 2023,SUNDAY,Muni Metro,"41,680"
FY 22-23,January 2023,SATURDAY,Muni Metro,"47,300"
FY 22-23,January 2023,WEEKDAY,Muni Metro,"66,000"
FY 22-23,February 2023,SUNDAY,Muni Metro,"43,220"
FY 22-23,February 2023,SATURDAY,Muni Metro,"55,380"
FY 22-23,February 2023,WEEKDAY,Muni Metro,"79,490"
FY 22-23,March 2023,SUNDAY,Muni Metro,"41,520"
FY 22-23,March 2023,SATURDAY,Muni Metro,"54,970"
FY 22-23,March 2023,WEEKDAY,Muni Metro,"78,570"
FY 22-23,April 2023,SUNDAY,Muni Metro,"52,760"
FY 22-23,April 2023,SATURDAY,Muni Metro,"62,530"
FY 22-23,April 2023,WEEKDAY,Muni Metro,"84,240"
FY 22-23,May 2023,SUNDAY,Muni Metro,"46,330"
FY 22-23,May 2023,SATURDAY,Muni Metro,"58,480"
FY 22-23,May 2023,WEEKDAY,Muni Metro,"83,170"
FY 22-23,June 2023,SUNDAY,Muni Metro,"58,060"
FY 22-23,June 2023,SATURDAY,Muni Metro,"62,280"
FY 22-23,June 2023,WEEKDAY,Muni Metro,"80,330"
FY 23-24,July 2023,SUNDAY,Muni Metro,"53,000"
FY 23-24,July 2023,SATURDAY,Muni Metro,"62,150"
FY 23-24,July 2023,WEEKDAY,Muni Metro,"79,030"
FY 23-24,August 2023,SUNDAY,Muni Metro,"55,270"
FY 23-24,August 2023,SATURDAY,Muni Metro,"63,820"
FY 23-24,August 2023,WEEKDAY,Muni Metro,"86,030"
FY 23-24,September 2023,SUNDAY,Muni Metro,"53,630"
FY 23-24,September 2023,SATURDAY,Muni Metro,"60,740"
FY 23-24,September 2023,WEEKDAY,Muni Metro,"87,820"
FY 23-24,October 2023,SUNDAY,Muni Metro,"53,690"
FY 23-24,October 2023,SATURDAY,Muni Metro,"67,270"
FY 23-24,October 2023,WEEKDAY,Muni Metro,"87,840"
FY 23-24,November 2023,SUNDAY,Muni Metro,"44,170"
FY 23-24,November 2023,SATURDAY,Muni Metro,"60,720"
FY 23-24,November 2023,WEEKDAY,Muni Metro,"82,550"
FY 23-24,December 2023,SUNDAY,Muni Metro,"45,920"
FY 23-24,December 2023,SATURDAY,Muni Metro,"55,180"
FY 23-24,December 2023,WEEKDAY,Muni Metro,"79,450"
FY 23-24,January 2024,SUNDAY,Muni Metro,"45,330"
FY 23-24,January 2024,SATURDAY,Muni Metro,"52,090"
FY 23-24,January 2024,WEEKDAY,Muni Metro,"84,350"
FY 23-24,February 2024,SUNDAY,Muni Metro,"45,870"
FY 23-24,February 2024,SATURDAY,Muni Metro,"68,770"
FY 23-24,February 2024,WEEKDAY,Muni Metro,"89,230"
FY 23-24,March 2024,SUNDAY,Muni Metro,"49,030"
FY 23-24,March 2024,SATURDAY,Muni Metro,"60,580"
FY 23-24,March 2024,WEEKDAY,Muni Metro,"89,320"
FY 23-24,April 2024,SUNDAY,Muni Metro,"54,430"
FY 23-24,April 2024,SATURDAY,Muni Metro,"63,690"
FY 23-24,April 2024,WEEKDAY,Muni Metro,"89,280"
FY 23-24,May 2024,SUNDAY,Muni Metro,"53,500"
FY 23-24,May 2024,SATURDAY,Muni Metro,"58,380"
FY 23-24,May 2024,WEEKDAY,Muni Metro,"94,440"
FY 23-24,June 2024,SUNDAY,Muni Metro,"59,260"
FY 23-24,June 2024,SATURDAY,Muni Metro,"64,730"
FY 23-24,June 2024,WEEKDAY,Muni Metro,"90,180"
FY 19-20,April 2020,SUNDAY,Other,"5,780"
FY 19-20,April 2020,SATURDAY,Other,"6,570"
FY 19-20,April 2020,WEEKDAY,Other,"7,960"
FY 19-20,May 2020,SUNDAY,Other,"7,560"
FY 19-20,May 2020,SATURDAY,Other,"8,050"
FY 19-20,May 2020,WEEKDAY,Other,"9,570"
FY 19-20,June 2020,SUNDAY,Other,"8,690"
FY 19-20,June 2020,SATURDAY,Other,"9,830"
FY 19-20,June 2020,WEEKDAY,Other,"12,940"
FY 20-21,July 2020,SUNDAY,Other,"9,020"
FY 20-21,July 2020,SATURDAY,Other,"10,560"
FY 20-21,July 2020,WEEKDAY,Other,"13,970"
FY 20-21,August 2020,SUNDAY,Other,"6,690"
FY 20-21,August 2020,SATURDAY,Other,"7,920"
FY 20-21,August 2020,WEEKDAY,Other,"11,260"
FY 20-21,September 2020,SUNDAY,Other,"5,190"
FY 20-21,September 2020,SATURDAY,Other,"5,380"
FY 20-21,September 2020,WEEKDAY,Other,"8,740"
FY 20-21,October 2020,SUNDAY,Other,"6,260"
FY 20-21,October 2020,SATURDAY,Other,"7,020"
FY 20-21,October 2020,WEEKDAY,Other,"9,290"
FY 20-21,November 2020,SUNDAY,Other,"12,260"
FY 20-21,November 2020,SATURDAY,Other,"14,880"
FY 20-21,November 2020,WEEKDAY,Other,"16,950"
FY 20-21,December 2020,SUNDAY,Other,"10,390"
FY 20-21,December 2020,SATURDAY,Other,"13,000"
FY 20-21,December 2020,WEEKDAY,Other,"16,020"
FY 20-21,January 2021,SUNDAY,Other,"9,940"
FY 20-21,January 2021,SATURDAY,Other,"11,910"
FY 20-21,January 2021,WEEKDAY,Other,"14,340"
FY 20-21,February 2021,SUNDAY,Other,"8,940"
FY 20-21,February 2021,SATURDAY,Other,"10,120"
FY 20-21,February 2021,WEEKDAY,Other,"11,810"
FY 20-21,March 2021,SUNDAY,Other,"9,200"
FY 20-21,March 2021,SATURDAY,Other,"10,690"
FY 20-21,March 2021,WEEKDAY,Other,"12,430"
FY 20-21,April 2021,SUNDAY,Other,"9,490"
FY 20-21,April 2021,SATURDAY,Other,"11,340"
FY 20-21,April 2021,WEEKDAY,Other,"12,770"
FY 20-21,May 2021,SUNDAY,Other,"4,180"
FY 20-21,May 2021,SATURDAY,Other,"5,870"
FY 20-21,May 2021,WEEKDAY,Other,"7,270"
FY 20-21,June 2021,SUNDAY,Other,"1,770"
FY 20-21,June 2021,SATURDAY,Other,"1,860"
FY 20-21,June 2021,WEEKDAY,Other,"2,410"
FY 21-22,July 2021,SUNDAY,Other,"1,780"
FY 21-22,July 2021,SATURDAY,Other,"2,020"
FY 21-22,July 2021,WEEKDAY,Other,"1,850"
FY 21-22,August 2021,SUNDAY,Other,"1,640"
FY 21-22,August 2021,SATURDAY,Other,"1,990"
FY 21-22,August 2021,WEEKDAY,Other,"1,610"
FY 21-22,September 2021,SUNDAY,Other,"1,840"
FY 21-22,September 2021,SATURDAY,Other,"2,290"
FY 21-22,September 2021,WEEKDAY,Other,"1,330"
FY 21-22,October 2021,SUNDAY,Other,"1,690"
FY 21-22,October 2021,SATURDAY,Other,"1,720"
FY 21-22,October 2021,WEEKDAY,Other,"1,000"
FY 21-22,November 2021,SUNDAY,Other,"1,630"
FY 21-22,November 2021,SATURDAY,Other,"1,940"
FY 21-22,November 2021,WEEKDAY,Other,"1,040"
FY 21-22,December 2021,SUNDAY,Other,"1,530"
FY 21-22,December 2021,SATURDAY,Other,"1,680"
FY 21-22,December 2021,WEEKDAY,Other,"1,020"
FY 21-22,January 2022,SUNDAY,Other,"1,370"
FY 21-22,January 2022,SATURDAY,Other,"1,220"
FY 21-22,January 2022,WEEKDAY,Other,630
FY 21-22,February 2022,SUNDAY,Other,"1,200"
FY 21-22,February 2022,SATURDAY,Other,820
FY 21-22,February 2022,WEEKDAY,Other,170
FY 21-22,March 2022,SUNDAY,Other,"1,280"
FY 21-22,March 2022,SATURDAY,Other,870
FY 21-22,March 2022,WEEKDAY,Other,170
FY 21-22,April 2022,SUNDAY,Other,"1,150"
FY 21-22,April 2022,SATURDAY,Other,"1,010"
FY 21-22,April 2022,WEEKDAY,Other,200
FY 21-22,May 2022,SUNDAY,Other,900
FY 21-22,May 2022,SATURDAY,Other,"1,010"
FY 21-22,May 2022,WEEKDAY,Other,230
FY 21-22,June 2022,SUNDAY,Other,970
FY 21-22,June 2022,SATURDAY,Other,"1,120"
FY 21-22,June 2022,WEEKDAY,Other,670
FY 22-23,July 2022,SUNDAY,Other,"1,130"
FY 22-23,July 2022,SATURDAY,Other,"1,200"
FY 22-23,July 2022,WEEKDAY,Other,270
FY 22-23,August 2022,SUNDAY,Other,"1,210"
FY 22-23,August 2022,SATURDAY,Other,"1,300"
FY 22-23,August 2022,WEEKDAY,Other,300
FY 22-23,September 2022,SUNDAY,Other,"1,200"
FY 22-23,September 2022,SATURDAY,Other,"1,390"
FY 22-23,September 2022,WEEKDAY,Other,320
FY 22-23,October 2022,SUNDAY,Other,"1,140"
FY 22-23,October 2022,SATURDAY,Other,"1,340"
FY 22-23,October 2022,WEEKDAY,Other,310
FY 22-23,November 2022,SUNDAY,Other,"2,930"
FY 22-23,November 2022,SATURDAY,Other,"3,450"
FY 22-23,November 2022,WEEKDAY,Other,"1,980"
FY 22-23,December 2022,SUNDAY,Other,"3,100"
FY 22-23,December 2022,SATURDAY,Other,"3,370"
FY 22-23,December 2022,WEEKDAY,Other,"3,990"
FY 22-23,January 2023,SUNDAY,Other,"3,090"
FY 22-23,January 2023,SATURDAY,Other,"3,670"
FY 22-23,January 2023,WEEKDAY,Other,"4,670"
FY 22-23,February 2023,SUNDAY,Other,"3,290"
FY 22-23,February 2023,SATURDAY,Other,"4,060"
FY 22-23,February 2023,WEEKDAY,Other,"5,160"
FY 22-23,March 2023,SUNDAY,Other,"3,120"
FY 22-23,March 2023,SATURDAY,Other,"4,250"
FY 22-23,March 2023,WEEKDAY,Other,"5,230"
FY 22-23,April 2023,SUNDAY,Other,"2,940"
FY 22-23,April 2023,SATURDAY,Other,"3,660"
FY 22-23,April 2023,WEEKDAY,Other,"5,420"
FY 22-23,May 2023,SUNDAY,Other,"3,590"
FY 22-23,May 2023,SATURDAY,Other,"4,180"
FY 22-23,May 2023,WEEKDAY,Other,"5,440"
FY 22-23,June 2023,SUNDAY,Other,"3,700"
FY 22-23,June 2023,SATURDAY,Other,"4,390"
FY 22-23,June 2023,WEEKDAY,Other,"5,100"
FY 23-24,July 2023,SUNDAY,Other,"3,660"
FY 23-24,July 2023,SATURDAY,Other,"4,330"
FY 23-24,July 2023,WEEKDAY,Other,"4,910"
FY 23-24,August 2023,SUNDAY,Other,"3,680"
FY 23-24,August 2023,SATURDAY,Other,"4,390"
FY 23-24,August 2023,WEEKDAY,Other,"5,180"
FY 23-24,September 2023,SUNDAY,Other,"3,520"
FY 23-24,September 2023,SATURDAY,Other,"4,100"
FY 23-24,September 2023,WEEKDAY,Other,"5,300"
FY 23-24,October 2023,SUNDAY,Other,"3,540"
FY 23-24,October 2023,SATURDAY,Other,"3,910"
FY 23-24,October 2023,WEEKDAY,Other,"4,920"
FY 23-24,November 2023,SUNDAY,Other,"3,050"
FY 23-24,November 2023,SATURDAY,Other,"4,260"
FY 23-24,November 2023,WEEKDAY,Other,"4,870"
FY 23-24,December 2023,SUNDAY,Other,"3,350"
FY 23-24,December 2023,SATURDAY,Other,"3,680"
FY 23-24,December 2023,WEEKDAY,Other,"4,890"
FY 23-24,January 2024,SUNDAY,Other,"3,270"
FY 23-24,January 2024,SATURDAY,Other,"3,580"
FY 23-24,January 2024,WEEKDAY,Other,"4,830"
FY 23-24,February 2024,SUNDAY,Other,"3,200"
FY 23-24,February 2024,SATURDAY,Other,"3,860"
FY 23-24,February 2024,WEEKDAY,Other,"4,920"
FY 23-24,March 2024,SUNDAY,Other,"3,450"
FY 23-24,March 2024,SATURDAY,Other,"4,250"
FY 23-24,March 2024,WEEKDAY,Other,"5,380"
FY 23-24,April 2024,SUNDAY,Other,"3,350"
FY 23-24,April 2024,SATURDAY,Other,"3,910"
FY 23-24,April 2024,WEEKDAY,Other,"4,800"
FY 23-24,May 2024,SUNDAY,Other,"3,710"
FY 23-24,May 2024,SATURDAY,Other,"3,880"
FY 23-24,May 2024,WEEKDAY,Other,"5,170"
FY 23-24,June 2024,SUNDAY,Other,"5,560"
FY 23-24,June 2024,SATURDAY,Other,"5,970"
FY 23-24,June 2024,WEEKDAY,Other,"5,130"
FY 15-16,January 2016,SUNDAY,Owl,920
FY 15-16,January 2016,SATURDAY,Owl,"1,020"
FY 15-16,January 2016,WEEKDAY,Owl,"1,070"
FY 15-16,February 2016,SUNDAY,Owl,970
FY 15-16,February 2016,SATURDAY,Owl,"1,060"
FY 15-16,February 2016,WEEKDAY,Owl,"1,040"
FY 15-16,March 2016,SUNDAY,Owl,910
FY 15-16,March 2016,SATURDAY,Owl,"1,020"
FY 15-16,March 2016,WEEKDAY,Owl,"1,070"
FY 15-16,April 2016,SUNDAY,Owl,"1,020"
FY 15-16,April 2016,SATURDAY,Owl,970
FY 15-16,April 2016,WEEKDAY,Owl,"1,120"
FY 15-16,May 2016,SUNDAY,Owl,"1,050"
FY 15-16,May 2016,SATURDAY,Owl,"1,100"
FY 15-16,May 2016,WEEKDAY,Owl,"1,110"
FY 15-16,June 2016,SUNDAY,Owl,"1,060"
FY 15-16,June 2016,SATURDAY,Owl,"1,110"
FY 15-16,June 2016,WEEKDAY,Owl,"1,100"
FY 16-17,July 2016,SUNDAY,Owl,990
FY 16-17,July 2016,SATURDAY,Owl,"1,040"
FY 16-17,July 2016,WEEKDAY,Owl,"1,060"
FY 16-17,August 2016,SUNDAY,Owl,960
FY 16-17,August 2016,SATURDAY,Owl,960
FY 16-17,August 2016,WEEKDAY,Owl,"1,030"
FY 16-17,September 2016,SUNDAY,Owl,930
FY 16-17,September 2016,SATURDAY,Owl,"1,040"
FY 16-17,September 2016,WEEKDAY,Owl,"1,050"
FY 16-17,October 2016,SUNDAY,Owl,940
FY 16-17,October 2016,SATURDAY,Owl,"1,090"
FY 16-17,October 2016,WEEKDAY,Owl,"1,050"
FY 16-17,November 2016,SUNDAY,Owl,"1,000"
FY 16-17,November 2016,SATURDAY,Owl,"1,100"
FY 16-17,November 2016,WEEKDAY,Owl,"1,080"
FY 16-17,December 2016,SUNDAY,Owl,750
FY 16-17,December 2016,SATURDAY,Owl,690
FY 16-17,December 2016,WEEKDAY,Owl,"1,030"
FY 16-17,January 2017,SUNDAY,Owl,840
FY 16-17,January 2017,SATURDAY,Owl,960
FY 16-17,January 2017,WEEKDAY,Owl,910
FY 16-17,February 2017,SUNDAY,Owl,830
FY 16-17,February 2017,SATURDAY,Owl,970
FY 16-17,February 2017,WEEKDAY,Owl,"1,030"
FY 16-17,March 2017,SUNDAY,Owl,920
FY 16-17,March 2017,SATURDAY,Owl,780
FY 16-17,March 2017,WEEKDAY,Owl,970
FY 16-17,April 2017,SUNDAY,Owl,870
FY 16-17,April 2017,SATURDAY,Owl,790
FY 16-17,April 2017,WEEKDAY,Owl,990
FY 16-17,May 2017,SUNDAY,Owl,880
FY 16-17,May 2017,SATURDAY,Owl,830
FY 16-17,May 2017,WEEKDAY,Owl,990
FY 16-17,June 2017,SUNDAY,Owl,830
FY 16-17,June 2017,SATURDAY,Owl,860
FY 16-17,June 2017,WEEKDAY,Owl,"1,010"
FY 17-18,July 2017,SUNDAY,Owl,880
FY 17-18,July 2017,SATURDAY,Owl,870
FY 17-18,July 2017,WEEKDAY,Owl,950
FY 17-18,August 2017,SUNDAY,Owl,850
FY 17-18,August 2017,SATURDAY,Owl,870
FY 17-18,August 2017,WEEKDAY,Owl,990
FY 17-18,September 2017,SUNDAY,Owl,920
FY 17-18,September 2017,SATURDAY,Owl,960
FY 17-18,September 2017,WEEKDAY,Owl,"1,050"
FY 17-18,October 2017,SUNDAY,Owl,900
FY 17-18,October 2017,SATURDAY,Owl,900
FY 17-18,October 2017,WEEKDAY,Owl,970
FY 17-18,November 2017,SUNDAY,Owl,810
FY 17-18,November 2017,SATURDAY,Owl,770
FY 17-18,November 2017,WEEKDAY,Owl,990
FY 17-18,December 2017,SUNDAY,Owl,760
FY 17-18,December 2017,SATURDAY,Owl,860
FY 17-18,December 2017,WEEKDAY,Owl,"1,010"
FY 17-18,January 2018,SUNDAY,Owl,820
FY 17-18,January 2018,SATURDAY,Owl,740
FY 17-18,January 2018,WEEKDAY,Owl,970
FY 17-18,February 2018,SUNDAY,Owl,810
FY 17-18,February 2018,SATURDAY,Owl,840
FY 17-18,February 2018,WEEKDAY,Owl,940
FY 17-18,March 2018,SUNDAY,Owl,780
FY 17-18,March 2018,SATURDAY,Owl,780
FY 17-18,March 2018,WEEKDAY,Owl,880
FY 17-18,April 2018,SUNDAY,Owl,840
FY 17-18,April 2018,SATURDAY,Owl,820
FY 17-18,April 2018,WEEKDAY,Owl,900
FY 17-18,May 2018,SUNDAY,Owl,800
FY 17-18,May 2018,SATURDAY,Owl,720
FY 17-18,May 2018,WEEKDAY,Owl,910
FY 17-18,June 2018,SUNDAY,Owl,890
FY 17-18,June 2018,SATURDAY,Owl,780
FY 17-18,June 2018,WEEKDAY,Owl,970
FY 18-19,July 2018,SUNDAY,Owl,890
FY 18-19,July 2018,SATURDAY,Owl,770
FY 18-19,July 2018,WEEKDAY,Owl,900
FY 18-19,August 2018,SUNDAY,Owl,800
FY 18-19,August 2018,SATURDAY,Owl,780
FY 18-19,August 2018,WEEKDAY,Owl,880
FY 18-19,September 2018,SUNDAY,Owl,0
FY 18-19,September 2018,SATURDAY,Owl,790
FY 18-19,September 2018,WEEKDAY,Owl,880
FY 18-19,October 2018,SUNDAY,Owl,840
FY 18-19,October 2018,SATURDAY,Owl,810
FY 18-19,October 2018,WEEKDAY,Owl,910
FY 18-19,November 2018,SUNDAY,Owl,810
FY 18-19,November 2018,SATURDAY,Owl,780
FY 18-19,November 2018,WEEKDAY,Owl,860
FY 18-19,December 2018,SUNDAY,Owl,750
FY 18-19,December 2018,SATURDAY,Owl,750
FY 18-19,December 2018,WEEKDAY,Owl,880
FY 18-19,January 2019,SUNDAY,Owl,830
FY 18-19,January 2019,SATURDAY,Owl,710
FY 18-19,January 2019,WEEKDAY,Owl,910
FY 18-19,February 2019,SUNDAY,Owl,800
FY 18-19,February 2019,SATURDAY,Owl,700
FY 18-19,February 2019,WEEKDAY,Owl,860
FY 18-19,March 2019,SUNDAY,Owl,780
FY 18-19,March 2019,SATURDAY,Owl,750
FY 18-19,March 2019,WEEKDAY,Owl,870
FY 18-19,April 2019,SUNDAY,Owl,790
FY 18-19,April 2019,SATURDAY,Owl,770
FY 18-19,April 2019,WEEKDAY,Owl,910
FY 18-19,May 2019,SUNDAY,Owl,830
FY 18-19,May 2019,SATURDAY,Owl,760
FY 18-19,May 2019,WEEKDAY,Owl,920
FY 18-19,June 2019,SUNDAY,Owl,870
FY 18-19,June 2019,SATURDAY,Owl,760
FY 18-19,June 2019,WEEKDAY,Owl,890
FY 19-20,July 2019,SUNDAY,Owl,870
FY 19-20,July 2019,SATURDAY,Owl,770
FY 19-20,July 2019,WEEKDAY,Owl,880
FY 19-20,August 2019,SUNDAY,Owl,740
FY 19-20,August 2019,SATURDAY,Owl,690
FY 19-20,August 2019,WEEKDAY,Owl,920
FY 19-20,September 2019,SUNDAY,Owl,810
FY 19-20,September 2019,SATURDAY,Owl,760
FY 19-20,September 2019,WEEKDAY,Owl,940
FY 19-20,October 2019,SUNDAY,Owl,830
FY 19-20,October 2019,SATURDAY,Owl,780
FY 19-20,October 2019,WEEKDAY,Owl,910
FY 19-20,November 2019,SUNDAY,Owl,710
FY 19-20,November 2019,SATURDAY,Owl,730
FY 19-20,November 2019,WEEKDAY,Owl,870
FY 19-20,December 2019,SUNDAY,Owl,730
FY 19-20,December 2019,SATURDAY,Owl,840
FY 19-20,December 2019,WEEKDAY,Owl,900
FY 19-20,January 2020,SUNDAY,Owl,800
FY 19-20,January 2020,SATURDAY,Owl,740
FY 19-20,January 2020,WEEKDAY,Owl,890
FY 19-20,February 2020,SUNDAY,Owl,820
FY 19-20,February 2020,SATURDAY,Owl,720
FY 19-20,February 2020,WEEKDAY,Owl,890
FY 19-20,March 2020,SUNDAY,Owl,640
FY 19-20,March 2020,SATURDAY,Owl,450
FY 19-20,March 2020,WEEKDAY,Owl,600
FY 19-20,April 2020,SUNDAY,Owl,450
FY 19-20,April 2020,SATURDAY,Owl,490
FY 19-20,April 2020,WEEKDAY,Owl,510
FY 19-20,May 2020,SUNDAY,Owl,700
FY 19-20,May 2020,SATURDAY,Owl,610
FY 19-20,May 2020,WEEKDAY,Owl,720
FY 19-20,June 2020,SUNDAY,Owl,700
FY 19-20,June 2020,SATURDAY,Owl,740
FY 19-20,June 2020,WEEKDAY,Owl,770
FY 20-21,July 2020,SUNDAY,Owl,710
FY 20-21,July 2020,SATURDAY,Owl,760
FY 20-21,July 2020,WEEKDAY,Owl,760
FY 20-21,August 2020,SUNDAY,Owl,770
FY 20-21,August 2020,SATURDAY,Owl,890
FY 20-21,August 2020,WEEKDAY,Owl,870
FY 20-21,September 2020,SUNDAY,Owl,950
FY 20-21,September 2020,SATURDAY,Owl,860
FY 20-21,September 2020,WEEKDAY,Owl,"1,010"
FY 20-21,October 2020,SUNDAY,Owl,930
FY 20-21,October 2020,SATURDAY,Owl,"1,060"
FY 20-21,October 2020,WEEKDAY,Owl,"1,090"
FY 20-21,November 2020,SUNDAY,Owl,860
FY 20-21,November 2020,SATURDAY,Owl,"1,020"
FY 20-21,November 2020,WEEKDAY,Owl,940
FY 20-21,December 2020,SUNDAY,Owl,870
FY 20-21,December 2020,SATURDAY,Owl,780
FY 20-21,December 2020,WEEKDAY,Owl,770
FY 20-21,January 2021,SUNDAY,Owl,800
FY 20-21,January 2021,SATURDAY,Owl,830
FY 20-21,January 2021,WEEKDAY,Owl,820
FY 20-21,February 2021,SUNDAY,Owl,600
FY 20-21,February 2021,SATURDAY,Owl,820
FY 20-21,February 2021,WEEKDAY,Owl,860
FY 20-21,March 2021,SUNDAY,Owl,950
FY 20-21,March 2021,SATURDAY,Owl,870
FY 20-21,March 2021,WEEKDAY,Owl,"1,040"
FY 20-21,April 2021,SUNDAY,Owl,"1,060"
FY 20-21,April 2021,SATURDAY,Owl,"1,070"
FY 20-21,April 2021,WEEKDAY,Owl,"1,030"
FY 20-21,May 2021,SUNDAY,Owl,"1,200"
FY 20-21,May 2021,SATURDAY,Owl,"1,170"
FY 20-21,May 2021,WEEKDAY,Owl,"1,150"
FY 20-21,June 2021,SUNDAY,Owl,"1,030"
FY 20-21,June 2021,SATURDAY,Owl,"1,610"
FY 20-21,June 2021,WEEKDAY,Owl,"1,450"
FY 21-22,July 2021,SUNDAY,Owl,"1,250"
FY 21-22,July 2021,SATURDAY,Owl,"1,620"
