Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 17-18,June 2018,SATURDAY,Connector,"9,000"
FY 17-18,June 2018,WEEKDAY,Connector,"15,440"
FY 18-19,July 2018,SUNDAY,Connector,"8,860"
FY 18-19,July 2018,SATURDAY,Connector,"9,420"
FY 18-19,July 2018,WEEKDAY,Connector,"14,610"
FY 18-19,August 2018,SUNDAY,Connector,"7,480"
FY 18-19,August 2018,SATURDAY,Connector,"9,160"
FY 18-19,August 2018,WEEKDAY,Connector,"15,060"
FY 18-19,September 2018,SUNDAY,Connector,"5,380"
FY 18-19,September 2018,SATURDAY,Connector,"11,210"
FY 18-19,September 2018,WEEKDAY,Connector,"18,330"
FY 18-19,October 2018,SUNDAY,Connector,"8,940"
FY 18-19,October 2018,SATURDAY,Connector,"11,610"
FY 18-19,October 2018,WEEKDAY,Connector,"18,660"
FY 18-19,November 2018,SUNDAY,Connector,"8,280"
FY 18-19,November 2018,SATURDAY,Connector,"11,770"
FY 18-19,November 2018,WEEKDAY,Connector,"16,250"
FY 18-19,December 2018,SUNDAY,Connector,"8,070"
FY 18-19,December 2018,SATURDAY,Connector,"11,010"
FY 18-19,December 2018,WEEKDAY,Connector,"16,600"
FY 18-19,January 2019,SUNDAY,Connector,"14,080"
FY 18-19,January 2019,SATURDAY,Connector,"10,280"
FY 18-19,January 2019,WEEKDAY,Connector,"15,350"
FY 18-19,February 2019,SUNDAY,Connector,"8,780"
FY 18-19,February 2019,SATURDAY,Connector,"11,640"
FY 18-19,February 2019,WEEKDAY,Connector,"17,400"
FY 18-19,March 2019,SUNDAY,Connector,"8,590"
FY 18-19,March 2019,SATURDAY,Connector,"10,860"
FY 18-19,March 2019,WEEKDAY,Connector,"17,620"
FY 18-19,April 2019,SUNDAY,Connector,"9,060"
FY 18-19,April 2019,SATURDAY,Connector,"10,880"
FY 18-19,April 2019,WEEKDAY,Connector,"19,040"
FY 18-19,May 2019,SUNDAY,Connector,"9,170"
FY 18-19,May 2019,SATURDAY,Connector,"10,780"
FY 18-19,May 2019,WEEKDAY,Connector,"18,780"
FY 18-19,June 2019,SUNDAY,Connector,"8,900"
FY 18-19,June 2019,SATURDAY,Connector,"10,750"
FY 18-19,June 2019,WEEKDAY,Connector,"16,430"
FY 19-20,July 2019,SUNDAY,Connector,"8,250"
FY 19-20,July 2019,SATURDAY,Connector,"11,290"
FY 19-20,July 2019,WEEKDAY,Connector,"16,440"
FY 19-20,August 2019,SUNDAY,Connector,"7,850"
