Exit stations,Entry stations->,,WEEKDAY,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
BP,21.857143,30.47619,7.571429,9.952381,18.52381,12.142857,22.619048,25.428571,34.380952,24.666667,29.428571,22.619048,19.047619,16.714286,7.380952,7.047619,6.761905,4.238095,14.809524,9.714286,7.857143,2.809524,1.380952,24.380952,37.333333,239.714286,267.809524,571.47619,270.238095,157.428571,170,33.571429,12.904762,28.47619,36.857143,5.047619,11.571429,1.666667,16.238095,27.428571,43.142857,52.142857,42.285714,3.571429,2.142857,3.714286,2.095238,2.333333,4.047619,15.285714,2440.333333,,,,,,,,,,,,,
DC,18.571429,25.52381,5.571429,8.380952,16.904762,6.619048,13.619048,19,36.666667,16.761905,24.666667,15.428571,14.047619,8.52381,11,5.761905,5.142857,7.809524,10.095238,9.52381,11.571429,2.904762,1.714286,5.190476,12.333333,220.904762,258.52381,398.380952,236,144.857143,144.333333,30.666667,35.619048,10.761905,16.333333,5.666667,12.380952,1,11.142857,30.666667,48.380952,89.190476,52.761905,4.333333,3.809524,6.142857,3.47619,2.095238,6.333333,18.666667,2105.761905,,,,,,,,,,,,,
CM,6.238095,8.571429,2.095238,2.619048,4.571429,2.333333,8.047619,6.571429,13.47619,2.904762,8.190476,4.333333,3.142857,4.714286,1.571429,3.047619,2.238095,2.190476,5.619048,2.333333,4.619048,1.714286,0.952381,2.666667,7.285714,83.809524,92.285714,160.190476,108.47619,70.333333,67.952381,21.714286,38.047619,15.047619,5.809524,1.238095,3.142857,1.380952,8.380952,6.428571,18.571429,75.809524,29.619048,0.285714,0.238095,0.904762,0.571429,0.285714,3.47619,9.47619,935.52381,,,,,,,,,,,,,
CV,2.52381,1.952381,2.142857,3.428571,9,2.47619,5.571429,6.52381,7.619048,36.619048,25.809524,15.142857,25.142857,17.047619,11.285714,8.095238,5.285714,5.809524,1.285714,0.47619,1.714286,0.761905,1.238095,1.761905,4.285714,67.142857,73.809524,66.571429,48.095238,20.333333,7.619048,3.952381,6.142857,5.761905,1.285714,4.857143,38.571429,0.190476,1.095238,2.238095,2.428571,5.47619,1.047619,22.571429,2,5.857143,1.285714,1.666667,0.190476,0.428571,593.619048,,,,,,,,,,,,,
ED,3.666667,7.238095,2.761905,3.238095,18.571429,6.571429,12.857143,13.761905,20.238095,45.571429,68.666667,39.47619,40.619048,39.047619,22.47619,13.52381,17.52381,12.952381,4.428571,2.095238,1.380952,1.238095,0.428571,2.333333,10.714286,152.142857,126.666667,131.761905,89.428571,33.809524,20.380952,10.380952,10.190476,12.809524,3.380952,36.285714,11.238095,0.380952,2.095238,2.285714,1.285714,33.095238,3.809524,9.190476,22.666667,6.619048,7,7.380952,0.857143,2.285714,1148.809524,,,,,,,,,,,,,
NC,2.142857,3,1.333333,1,6.428571,1.047619,9.095238,7.714286,9.52381,1.666667,1.714286,2.380952,2.333333,1.571429,0.52381,0.714286,0.285714,1.285714,13.428571,10.285714,15.428571,2.619048,1.571429,5.619048,1.190476,35.047619,34.761905,41.380952,37.380952,11.428571,14.761905,2.714286,2.666667,1.285714,1.047619,0,0.285714,1.904762,9.714286,4.428571,1.761905,16.428571,0.285714,0.142857,3.619048,0.142857,0.52381,0.47619,8.761905,11.190476,346.047619,,,,,,,,,,,,,
WP,5.142857,6.142857,3.380952,2.904762,16.761905,3.47619,35.285714,24,35.809524,5.52381,8.238095,7.095238,2.285714,4.714286,2.952381,4.047619,1.857143,3.809524,72.142857,31.904762,46.238095,14.142857,4.571429,11.809524,6,108,105.285714,159.52381,125.904762,51.857143,44.52381,17.571429,17.809524,11.952381,6.619048,1.190476,1.857143,10.428571,8.666667,6.761905,12.238095,42.761905,3.952381,0.095238,7.857143,4.952381,0.428571,1.666667,12.095238,13.238095,1137.47619,,,,,,,,,,,,,
SS,5.428571,8.809524,3.238095,2.238095,6.619048,2.857143,7.095238,7.809524,12.285714,4.52381,4,3.952381,4.52381,4.761905,4.190476,1.52381,0.904762,0.333333,3.952381,6.333333,6.380952,0.380952,1,5.190476,7.47619,66.571429,71.333333,125.142857,86.047619,52.047619,51.47619,17.285714,34.285714,31.666667,11.428571,2.52381,2.761905,4.333333,6.428571,5.714286,12.285714,32.619048,18.52381,0.666667,0.809524,1.904762,0.238095,0.952381,3.47619,8.333333,764.666667,,,,,,,,,,,,,
SB,11.904762,11.238095,3.380952,2.190476,6.666667,4.761905,4.761905,7.52381,13.619048,4.52381,9.095238,5.428571,6.047619,5.380952,6.047619,2.619048,1.666667,1.095238,9.428571,5,6.52381,2.333333,1.285714,5,12.047619,48.142857,67.333333,112.238095,82.571429,60.47619,60.571429,29.857143,48.52381,53.857143,20.761905,1.952381,1.904762,2.47619,11,13.238095,9.047619,31.285714,13.380952,0.857143,1.142857,0.238095,0.238095,0.047619,3.142857,10.095238,833.952381,,,,,,,,,,,,,
SO,15.142857,33.333333,15.47619,17.761905,32.285714,12.571429,23.952381,21.619048,25.333333,9,14.047619,8.238095,10.952381,8.380952,5.619048,6,4.761905,4.666667,42.047619,38.238095,36.857143,20.190476,14.666667,27.571429,29.47619,56.952381,56.380952,197.904762,89.952381,60.142857,37.857143,24.047619,45.904762,61.428571,60.571429,3.857143,23.666667,13.619048,42.333333,27.761905,19.761905,18.47619,90.142857,4.857143,4.619048,1.809524,2.190476,1.857143,6,39.095238,1469.380952,,,,,,,,,,,,,
MB,6.095238,18.238095,5.190476,3.619048,21.952381,5.952381,11.47619,8.285714,16.666667,3.190476,5.619048,5.428571,1.714286,4.047619,2.47619,2,1.095238,0.666667,5.714286,5,4.52381,1.142857,1.285714,1.809524,7.714286,52.857143,70.809524,87.380952,67.380952,43.809524,44.190476,23.238095,44.47619,48.428571,25.52381,0.47619,3.809524,0.333333,3.142857,16.238095,9.142857,151,15.714286,1.095238,1.428571,0.238095,0.095238,0.142857,1,7.333333,870.190476,,,,,,,,,,,,,
WD,2.380952,4.142857,2.190476,1.809524,5.285714,2.142857,5,5.47619,4.761905,22.761905,29.190476,13.428571,21.571429,29.238095,12.190476,8.714286,7.619048,4.952381,2.238095,2.380952,0.809524,0.095238,0.142857,0.619048,2.190476,64.238095,46.095238,45.571429,38.666667,17.047619,10.285714,5.190476,4.190476,4.285714,0.571429,23.333333,12.52381,0.571429,0.238095,0.619048,1.380952,9.047619,0.857143,3.619048,6.857143,2.190476,2.285714,2.52381,0.285714,1.619048,495.428571,,,,,,,,,,,,,
OA,2.761905,8.714286,5.428571,5.52381,11.619048,5.142857,5.761905,5.142857,6.52381,5.52381,4.761905,7.571429,3.333333,2.285714,1.952381,1.380952,2.952381,4.333333,6.809524,8.904762,6.142857,3.857143,2.904762,2.952381,1.761905,17.619048,13.761905,15.857143,9.285714,6.095238,4.095238,3.190476,3,2.333333,0.666667,1.238095,15.333333,2.571429,7.142857,0.428571,0.809524,6.047619,0.714286,3.52381,3.380952,1.809524,3.285714,2.190476,0.619048,6.619048,255.666667,,,,,,,,,,,,,
WS,7,10.714286,4.761905,4.285714,12.047619,5.714286,6,15.047619,11.904762,17.428571,24.857143,20.714286,21.857143,26.761905,30.142857,38,27.095238,25.190476,2.571429,2.571429,2,0.666667,0.238095,1,4.52381,19.857143,21.380952,21.380952,16.095238,5.285714,4.428571,1.857143,3.952381,4.238095,0.904762,6.380952,6.428571,0.238095,5.761905,2.285714,0.190476,3.095238,0.142857,1.952381,2.619048,6.238095,33.952381,33.571429,0.714286,2.714286,528.761905,,,,,,,,,,,,,
ML,2.904762,4.904762,2.285714,2.380952,14.142857,6.380952,6.190476,10.238095,10.571429,7.857143,13.190476,8.619048,8.952381,10.809524,20,12.142857,24,34.190476,3.809524,1.904762,2.666667,1,1.095238,1.666667,1.52381,23.52381,19.333333,25.52381,20.190476,6.285714,5.095238,1.666667,1.285714,3.857143,0.809524,1.238095,6.809524,0.238095,1.142857,0.380952,0.333333,3.809524,0.142857,2.142857,4.809524,36.333333,7.52381,6.714286,1.142857,1.333333,395.095238,,,,,,,,,,,,,
BE,5.428571,7.047619,4.761905,3.047619,24.047619,6.952381,10.380952,9.857143,14.047619,11.142857,17.380952,9.714286,14.428571,10.047619,18,12.666667,16.714286,27.666667,4,1.714286,3.380952,1.380952,1.380952,1.666667,3.761905,35.47619,27.142857,26.666667,27.952381,10.047619,7.047619,2.047619,3.52381,3.142857,0.380952,1.333333,6.666667,0.47619,1.571429,0.380952,0.238095,2.857143,0.333333,2.52381,4.428571,42.095238,6.904762,6.428571,0.380952,2.857143,463.52381,,,,,,,,,,,,,
