Exit stations,Entry stations->,,WEEKDAY,,,Dec 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
MB,26.277778,69.666667,27.277778,33.555556,101.555556,27.222222,61.055556,116.166667,134.666667,17.333333,25.5,21.277778,12.333333,10.277778,6,4.055556,2.277778,3.388889,30.277778,20.555556,21.555556,15.111111,12.611111,19.888889,35,956.333333,1208.611111,724.888889,481.722222,214.111111,179.888889,107.333333,148.666667,241.5,85.5,5.333333,17.333333,5.833333,20.722222,68.611111,34,192.944444,43.666667,5.277778,4.666667,2.388889,0,0,4.777778,18,5627,,,,,,,,,,,,,,
WD,4.388889,13.222222,9.055556,6.111111,42.277778,12.166667,24.777778,113.055556,123.333333,93.222222,58.888889,57.333333,57.166667,84.777778,35.777778,24.111111,28.277778,26.722222,2.388889,4,3.055556,0.833333,0.444444,5.388889,9.611111,780.611111,655.111111,385,265.055556,83.555556,44.222222,25.5,26.722222,56.777778,2.833333,64.222222,49.611111,1.388889,3.166667,6.666667,6.5,41.944444,5.722222,16.611111,31.888889,14.666667,0,0,0.944444,2.444444,3411.555556,,,,,,,,,,,,,,
OA,10.722222,32.944444,28.833333,32.222222,68.5,23.555556,28.277778,40.055556,50.611111,16.888889,9.833333,23.5,6.666667,5,8,7.111111,16.055556,21.833333,28.444444,46.5,34.388889,20,13.222222,13.722222,9.444444,173.166667,134.888889,98.666667,70.611111,25.666667,21.277778,14.5,8.944444,11.888889,1.388889,6.166667,59,10.5,18.555556,2.555556,5.333333,22.055556,4.388889,28.333333,8,12.277778,0,0,2.166667,16.666667,1353.333333,,,,,,,,,,,,,,
WS,16.777778,49.5,19.555556,21.555556,115.611111,33.111111,55.277778,164.166667,161.722222,94.222222,85.222222,122.777778,81.333333,84.388889,111.833333,75.111111,89.444444,108.388889,20.944444,18.666667,12.666667,3.888889,5.833333,11.277778,16.777778,653.722222,674.833333,311.111111,227.833333,67.444444,27.666667,13.888889,19.5,40.055556,2.277778,15.5,40.888889,7.277778,17.833333,3,1.666667,19.222222,2.666667,14.555556,12.611111,27.444444,0,0,6.444444,13.388889,3800.888889,,,,,,,,,,,,,,
ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PC,6.277778,4.722222,2.833333,2.222222,21.333333,4.666667,45.666667,51.166667,47.666667,7.166667,10,17.777778,5.277778,5.666667,5.055556,3.333333,3.833333,3.555556,80.888889,30.777778,42.555556,12.166667,5.388889,17.055556,7.944444,89.777778,89.444444,98.722222,69.611111,31.388889,22.666667,11.555556,14.833333,22.277778,5,0.444444,2.111111,13.944444,14.111111,3.111111,8.222222,20,4.055556,0.722222,3.333333,6.277778,0,0,7.277778,24.055556,1007.944444,,,,,,,,,,,,,,
AN,12.777778,9.444444,4.833333,5,37.277778,6.833333,115.055556,114.166667,171.944444,18,20.055556,39.222222,13.111111,7.111111,19.444444,6.444444,7.777778,9.5,96.166667,42.833333,92.277778,16.277778,9.611111,32.611111,19.111111,351.944444,306,285.444444,242.555556,104.944444,58.277778,36.444444,43.055556,68.666667,16.166667,1.833333,3.666667,22,31,20,26.444444,91.5,16.5,2.5,21.888889,14.666667,0,0,27.333333,24.055556,2743.777778,,,,,,,,,,,,,,
Entries,4116.611111,7389.444444,4531.111111,4013,8924.944444,4738.944444,7915.222222,12195.055556,12714.777778,6457,7462.722222,5575.944444,5841.555556,5249.277778,4317.833333,2925.333333,4438.277778,5474.222222,5430.5,7282.277778,6326.611111,3395.666667,2877.222222,4987.222222,7617.333333,38182.611111,39079.833333,31268.388889,22226.555556,11762.222222,11797.333333,7333.888889,10973.388889,9127.777778,4161.555556,2706,7814.222222,2091.055556,3859,3296.555556,3501.222222,5692.555556,6109.666667,3267.666667,1296.111111,3858.666667,0,0,1144.666667,2821.222222,385570.277778,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
