Exit stations,Entry stations->,,WEEKDAY,,,May 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CV,2.545455,1.954545,3.363636,2,13.136364,2.636364,6.227273,11.818182,14.181818,47.227273,25.363636,33.5,36.772727,24.363636,10.818182,9.409091,10.772727,7.5,1.863636,0.681818,1.909091,0.545455,2.590909,2.590909,7.5,147.727273,144.318182,85.681818,91.363636,30.136364,10.681818,6.363636,7.318182,11.5,1.318182,4.545455,43.136364,0.454545,1.181818,2.818182,3.136364,9.590909,2.454545,31.181818,4.636364,7.727273,1.863636,4.318182,0.318182,1.454545,936.5,,,,,,,,,,,,,
ED,5.909091,7.863636,3.045455,4.727273,30.454545,7.954545,19.954545,26.363636,38.318182,73.318182,66.818182,100.363636,56.545455,54.909091,27.272727,12.045455,23.136364,17.136364,5.090909,1.818182,2.090909,2.636364,0.909091,3.409091,11.681818,462.681818,294.227273,207.5,164.136364,52.590909,29.727273,15.045455,16.590909,28.954545,3.909091,40.454545,20.954545,0.272727,2.272727,4.227273,3.136364,61.227273,5.272727,16.454545,39.545455,12.454545,9.681818,14.227273,1.181818,1.590909,2112.090909,,,,,,,,,,,,,
NC,2.909091,4.590909,1.363636,2.454545,6.5,1.590909,11.136364,14.818182,18.454545,5.681818,2.681818,6.818182,3.409091,0.681818,1.045455,1.636364,0.454545,0.454545,18.090909,14.772727,13.227273,4.318182,2.227273,7.954545,1.045455,72.227273,59.409091,52.590909,51.409091,15.772727,15.090909,4.454545,5.909091,6.636364,1.272727,0.272727,0.409091,3.818182,12,5.363636,2.318182,25.272727,1,0.272727,6.863636,0.272727,0.409091,0.727273,12.636364,13.954545,518.681818,,,,,,,,,,,,,
WP,8.136364,6.590909,4.227273,3.590909,19.454545,6.045455,42.545455,40,51.272727,8.909091,11.727273,12.545455,8,7.227273,7.909091,4.181818,3,4.636364,87.318182,36.181818,52.318182,14.590909,5.818182,19.818182,7.090909,180.954545,145.772727,210.318182,160.318182,68.136364,46.454545,15.636364,24.954545,20.454545,8.409091,1.454545,1.681818,11.909091,14.272727,10.227273,11.090909,55.181818,6.636364,0.727273,12.272727,5.045455,1.681818,3.136364,10.681818,16.681818,1517.227273,,,,,,,,,,,,,
SS,9.863636,12.5,4.681818,1.590909,9.590909,2.818182,9.136364,13.909091,21.727273,6,6.772727,7.363636,5.590909,4.454545,3.227273,1.363636,0.954545,1.363636,5.772727,6.136364,7.136364,1.136364,1.636364,4.181818,8.681818,143.5,144.681818,168.272727,131.818182,70.636364,61.545455,23.863636,36.681818,47.818182,10.909091,2,4.227273,5.409091,10.863636,7.454545,20.090909,46.545455,25.909091,1.090909,2.227273,1.045455,0.863636,0.545455,3.590909,13.318182,1142.5,,,,,,,,,,,,,
SB,14.045455,13.454545,3.454545,3.227273,14.818182,6.363636,5.909091,15.909091,21.681818,7.227273,11.772727,11.863636,6.181818,7.227273,6.863636,3.636364,0.863636,2.045455,9.090909,8.409091,6.818182,3.454545,1.454545,6.681818,12.5,107.227273,128.454545,146.818182,120.681818,76.5,69.409091,32.136364,63.272727,69.5,25.727273,3.909091,2.5,3.5,9.772727,17.045455,11.909091,44.454545,16.409091,2,1.954545,0.227273,0.636364,0.272727,5.227273,10.5,1175,,,,,,,,,,,,,
SO,34.227273,53.818182,33.227273,51.818182,101.590909,34.909091,57.909091,49.681818,54.090909,20,24.681818,15.363636,18.681818,11.590909,8.590909,7.5,8.227273,11,64.5,77.136364,82.318182,52.409091,42.454545,77.5,61.409091,167.681818,152.5,487.409091,193,130,75.681818,48.045455,65.409091,102.090909,86.681818,8.181818,53.909091,24.272727,60.818182,34.636364,29.818182,48.545455,190.090909,11.454545,13.454545,3.636364,3.954545,2.681818,8.045455,55,3111.636364,,,,,,,,,,,,,
MB,8.818182,22.545455,7.954545,7.5,43.181818,9.045455,16.136364,21.136364,28.681818,3.590909,8.909091,10.090909,2.818182,4,2.863636,1.772727,1.409091,1.227273,6.727273,4.727273,5.363636,3.045455,1.636364,4.818182,13.045455,152.227273,165.681818,144.545455,126.681818,76.5,59.909091,35.363636,54.636364,84.681818,33.045455,2,5.454545,0.545455,5.409091,21.5,11,227.909091,27.681818,1.136364,3.045455,0.363636,0.318182,0.181818,4.136364,4.954545,1489.954545,,,,,,,,,,,,,
WD,2.590909,6.363636,3.590909,1.272727,9.909091,2.136364,6.545455,12.318182,14.272727,36.227273,33.863636,36.318182,26.272727,36.5,14.454545,12.272727,10.863636,7.409091,2.136364,2.181818,1.090909,0.545455,0.227273,1.318182,4.954545,180.272727,106.818182,68.227273,67.090909,22.863636,14.454545,6,6.863636,9.590909,0.772727,31.5,21.227273,0.454545,0.727273,0.954545,1.681818,16.181818,1.5,7.909091,15.045455,3.863636,6.181818,7.181818,0.727273,1,884.727273,,,,,,,,,,,,,
OA,6.181818,18.909091,14.363636,16.5,42.590909,13.318182,15.454545,14.954545,18.045455,13,5.045455,19.681818,3.545455,5.181818,3.909091,2.545455,6.818182,9.409091,15,21.045455,17,10.090909,6.045455,7.181818,4.454545,62,40.454545,51.454545,28.954545,14.136364,10.045455,7.727273,5.181818,6.545455,0.954545,3.045455,28.409091,6.136364,11.590909,0.954545,1.772727,15,2.590909,11.636364,7.181818,3.909091,7,5.954545,1.681818,12.863636,657.454545,,,,,,,,,,,,,
