Exit stations,Entry stations->,,WEEKDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
GP,43.473684,69.157895,24.842105,28.684211,125.631579,32.473684,74.736842,155.263158,176,51.526316,63.368421,66.105263,44.736842,30.052632,30.578947,12.210526,13.052632,17.368421,35.421053,45.421053,38.789474,14.684211,17.526316,40.894737,59.947368,1132.052632,1446.105263,1146.736842,677.947368,303.315789,231.684211,24.157895,127.263158,62.105263,49.315789,13.631579,65.736842,16.105263,38.842105,29,53.263158,83.684211,123.947368,24.894737,12.842105,13.421053,0,0,10.368421,32.578947,7030.947368,,,,,,,,,,,,,,
BP,60.526316,93.894737,36.473684,35.578947,103.947368,41.473684,84.684211,124,159.736842,74.263158,88.842105,62.368421,65.052632,42.684211,30.894737,22.052632,14.105263,18.842105,47.315789,38.947368,35.526316,9.894737,14.684211,45.526316,88.947368,1372.842105,1811.263158,2211.578947,1135.315789,553.631579,509.947368,124.263158,41.263158,100.526316,74,22.421053,60.578947,14.263158,42.631579,63.368421,94.736842,105.052632,132.894737,25.473684,7.842105,15.157895,0,0,11.947368,44.947368,10016.210526,,,,,,,,,,,,,,
DC,118.947368,200.421053,66.578947,47.578947,121.157895,51.157895,95.105263,150.894737,227,136.631579,165,133.842105,129.105263,93.263158,72.631579,61.105263,68.052632,68.947368,126.315789,85.894737,64.789474,29,21.894737,41.368421,84.105263,1297.315789,1793.894737,1326.894737,777.315789,315.157895,283.105263,63.789474,118.684211,32.210526,45.315789,39.157895,128.210526,54.631579,97.157895,77.789474,127.315789,176.842105,280.473684,55.052632,13.263158,48.842105,0,0,29.421053,87.736842,9730.368421,,,,,,,,,,,,,,
CM,16.263158,24.421053,6.894737,5.105263,37.894737,9.421053,22.368421,73.052632,119.894737,11.210526,10.894737,10.684211,6.684211,8.526316,5.157895,4.157895,6.631579,4.315789,25.263158,11.157895,12.631579,6.473684,2.105263,4.789474,13.684211,854.684211,1050.473684,597.157895,452.578947,135.473684,116.368421,43.631579,74.947368,38.947368,13.789474,3.315789,14.263158,2.947368,18.315789,16.315789,42.105263,134.473684,84.842105,2.736842,1.894737,2.105263,0,0,4.842105,14.421053,4180.315789,,,,,,,,,,,,,,
CV,5.210526,9.052632,5,5.684211,58.789474,9.105263,25.894737,75.894737,123.947368,109.315789,43.736842,43.631579,33.473684,41.578947,14.473684,12.526316,15.473684,23.052632,5.263158,2.526316,5,0.789474,3.052632,4.578947,11.263158,519.684211,576.684211,279.947368,251.210526,82.368421,33.894737,20.526316,26.578947,43.263158,3.473684,8.578947,86,2.210526,0.631579,4.157895,7.736842,17.736842,6.052632,49.263158,6.368421,16.736842,0,0,0,0.789474,2732.210526,,,,,,,,,,,,,,
ED,14.578947,25.473684,11.526316,12.210526,113.105263,20.210526,70.210526,223.789474,267.157895,162.631579,123.842105,114.368421,104.631579,118.421053,63.947368,34.736842,57.105263,48.631579,8.105263,4.421053,4.578947,2.315789,2,11.578947,25.894737,1990.842105,1839.894737,705.105263,636.421053,242.421053,87.842105,69.526316,71.526316,129.578947,15.789474,92.157895,35.578947,1.210526,3.473684,26.315789,13.947368,94.684211,16.684211,41,58.736842,42.684211,0,0,2.157895,2.631579,7865.684211,,,,,,,,,,,,,,
NC,2.684211,5.789474,3.315789,3.842105,28.526316,6.052632,49.210526,123.315789,141,8.842105,5.842105,9.947368,8.263158,3.894737,12.315789,1.105263,3.157895,3,35.263158,32.736842,47,9.684211,6.105263,22.263158,4.421053,325.736842,362.210526,203.105263,217.684211,67.368421,35.526316,18.947368,19.157895,47.210526,3.210526,1.789474,0.947368,9.368421,21.684211,8.947368,12.210526,44.578947,5.263158,0.842105,9.210526,7.315789,0,0,10.631579,19.578947,2030.105263,,,,,,,,,,,,,,
WP,16.105263,14.263158,6.263158,10.263158,71.368421,15.421053,143.789474,171.736842,222.473684,25.052632,23.526316,32.631579,11.684211,7.684211,24,7.684211,9.263158,10.473684,149,73.421053,115.684211,23.789474,13.789474,41.526316,15.894737,512.421053,520,464.105263,402.842105,150.210526,107.947368,52,53.526316,97.315789,16.473684,0.947368,3.105263,19.894737,24.526316,22.631579,27.315789,111.157895,19,1.736842,16.368421,13.736842,0,0,17,22.210526,3933.263158,,,,,,,,,,,,,,
SS,10.315789,31.210526,5.684211,8.894737,35.473684,8.263158,27.473684,68.315789,91.631579,14.157895,13.105263,18.789474,11.263158,9.105263,8.684211,5.421053,2.947368,4.578947,21.789474,27.631579,23.578947,5.210526,6.684211,12.684211,23.736842,628.947368,778.105263,431.736842,391.631579,127.105263,97.947368,30.368421,69.736842,77.263158,16.421053,4.736842,25.210526,7.473684,18.368421,13.052632,27,55.105263,70.315789,6.894737,2.842105,4,0,0,5.105263,19.526316,3405.526316,,,,,,,,,,,,,,
SB,20.789474,37.473684,11.526316,9.263158,42.684211,16.315789,26.684211,67.315789,82.947368,18.684211,24.157895,22.947368,12.842105,13.210526,7.473684,6.842105,4.578947,9.421053,24.736842,30.210526,19.789474,7.894737,9.105263,10.526316,25.421053,645.263158,761.157895,466.526316,359.684211,144.263158,121.526316,61.368421,112.052632,130.947368,40.473684,7.421053,12.052632,11.736842,30.368421,29.894737,15.052632,54.052632,49.842105,4.894737,4.631579,2.157895,0,0,9.315789,23.368421,3660.894737,,,,,,,,,,,,,,
