Exit stations,Entry stations->,,WEEKDAY,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
GP,22.272727,25.409091,9.636364,10.181818,29.545455,7.772727,23.454545,28.227273,32.272727,19.954545,20.636364,16.863636,14.409091,13.181818,8.636364,5.363636,3.681818,3.545455,15.090909,10.954545,7,4.863636,5.363636,16.318182,22.727273,164.363636,207.636364,268.590909,163.5,100.181818,89.545455,8.363636,34.590909,26.318182,21.954545,4.272727,9.227273,4.136364,13.818182,17.318182,28.681818,41.409091,27.454545,4.227273,6.318182,1.545455,2.136364,1.590909,4,15.045455,1643.590909,,,,,,,,,,,,,
BP,25.590909,34.818182,7.772727,10.863636,27.772727,10.681818,24.227273,26.136364,41.227273,24.227273,34.454545,28.272727,20.5,15.772727,11.090909,6.5,7.727273,4.909091,13.318182,7.181818,11.590909,1.909091,2.772727,23.045455,36.681818,233.5,300.227273,588.636364,273.363636,144.181818,144.590909,30.954545,11.363636,31.681818,39.727273,4.181818,14.590909,2.545455,17.363636,24.045455,49.636364,46.954545,46.090909,5.5,4.272727,2.5,3.818182,3.136364,4.545455,14.363636,2500.818182,,,,,,,,,,,,,
DC,21.681818,41.772727,10.818182,11.863636,26.727273,7.5,19.545455,24.636364,40.818182,20,38.863636,29.590909,24.136364,17.318182,17,10.363636,11.227273,9.136364,15.5,14.045455,15.181818,3.363636,5.727273,8.727273,20,239.090909,251.772727,398.545455,251,139.181818,119.454545,25.454545,33.772727,14.681818,18.545455,8.590909,25,4.636364,18.136364,30.909091,46.909091,84.727273,59.727273,7.454545,7.181818,7.681818,4.636364,5.909091,8.909091,24.590909,2302.045455,,,,,,,,,,,,,
CM,6.5,9.772727,0.681818,3.545455,7.636364,2.818182,5.545455,6.681818,16.727273,2.545455,5.954545,4.227273,3.454545,2.636364,2.636364,2.545455,2.227273,2.181818,7.636364,2.454545,5.409091,3.090909,0.590909,2.318182,6,83.045455,100.909091,160.318182,111.727273,59.545455,64.272727,22.272727,36.181818,19.363636,6.409091,1.318182,3.318182,1.227273,8.818182,6.090909,18.318182,67.090909,24.863636,0.409091,0.818182,1.227273,0.727273,0.590909,3.863636,9.590909,928.136364,,,,,,,,,,,,,
CV,1.681818,2,3.590909,2.136364,9.5,3.318182,5.409091,7.090909,8.863636,43.954545,25.5,32.590909,30.090909,16.636364,9.272727,7.090909,7.681818,5.727273,0.772727,1.636364,2.181818,0.545455,0.954545,1.818182,4.863636,75.181818,78.181818,64.454545,56.227273,18.136364,8.272727,5.045455,5.136364,8.272727,1.545455,2.818182,33.363636,1,0.636364,1.409091,2.363636,7.772727,1.545455,22.909091,2.818182,3.409091,1.409091,3.636364,0.227273,0.772727,641.454545,,,,,,,,,,,,,
ED,4.863636,9.045455,2.136364,3.5,31.363636,6.5,14.863636,15.363636,18.409091,51.272727,66.636364,109,42.318182,43.863636,24.318182,10.590909,17.272727,12.272727,4.454545,2.636364,2.090909,0.545455,0.318182,2.818182,9.227273,208.727273,157.772727,139.863636,117.045455,41.363636,23.227273,11.636364,15.090909,24.045455,3.272727,32.409091,13.045455,0.272727,2.090909,3,2,43.863636,3.045455,10.545455,29.181818,9.954545,6.045455,10.136364,1.454545,2.136364,1416.909091,,,,,,,,,,,,,
NC,2.590909,2.363636,1.5,1.136364,6.045455,1.090909,6.545455,7.818182,12.818182,1.727273,2.454545,7,3.090909,2.181818,1.227273,0.409091,0.318182,0.590909,10.590909,9.136364,11.181818,2.136364,1.136364,6.272727,0.818182,44.863636,46.181818,46.363636,45.181818,12.636364,12.363636,4.181818,4.545455,5.136364,1.5,0.681818,0.318182,2.636364,11.863636,3.590909,2.045455,19.272727,0.409091,0.227273,3.454545,0.090909,0.272727,0.272727,8.954545,9.227273,388.454545,,,,,,,,,,,,,
WP,6.363636,7.090909,4.863636,2.954545,17.545455,3.590909,34.636364,29.636364,39.318182,5.318182,11.318182,13.772727,7.681818,4.954545,4.363636,3.409091,2.363636,3.272727,69.454545,29.681818,46.590909,11.045455,6.636364,14.545455,7.590909,112.636364,110.772727,181,130.136364,59.909091,45.454545,15.454545,19,18.227273,9.863636,0.409091,1.545455,10.954545,6.909091,9,10.954545,44.409091,2.5,0.454545,11,3.272727,0.727273,1.318182,8.772727,14.545455,1217.227273,,,,,,,,,,,,,
SS,6.727273,11.863636,3.636364,2.681818,9.318182,2.136364,9.227273,8.727273,16.181818,3.181818,5.590909,5.181818,5.681818,4.363636,2.090909,2,0.818182,0.363636,4.681818,4.909091,8.272727,0.727273,2,2.590909,10.363636,67.454545,84.454545,121.272727,89.363636,50.772727,49.909091,16.681818,29.818182,32.954545,7.636364,1.772727,3.136364,3.772727,7.636364,5.272727,10.909091,28.227273,15.090909,1.090909,1.318182,0.727273,0.272727,0.909091,1.227273,9.636364,774.636364,,,,,,,,,,,,,
SB,10.681818,11.227273,2.045455,1.909091,11.272727,5.681818,7.045455,8.454545,11.272727,2.181818,9.772727,7.5,6.318182,6.227273,6.318182,3.090909,1.318182,2.636364,10.772727,6.181818,6.318182,2.909091,0.863636,5.318182,8.727273,56.636364,70.863636,109.590909,79.818182,57.681818,53.727273,29.954545,47.5,52.090909,17.318182,2.409091,1.818182,2.5,9.363636,12.409091,6.636364,31.545455,12.136364,1.090909,0.954545,0.545455,0.5,0.318182,2.681818,7.681818,823.818182,,,,,,,,,,,,,
