Exit stations,Entry stations->,,WEEKDAY,,,Mar 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,,
ED,16.5,30.909091,12.681818,14.363636,130.909091,21.772727,65.227273,230.181818,232.909091,171.363636,134.772727,191.954545,89.136364,141.227273,62.363636,37.227273,57.681818,70.863636,8.045455,3.454545,7.545455,1.590909,2.136364,10.454545,27.909091,1952.863636,1816.318182,731.954545,651.590909,221.454545,90.818182,75.136364,73.227273,116.545455,16,106.363636,58,2.181818,8.727273,22.409091,14.681818,124.045455,18.227273,42.954545,73.227273,20.090909,8010,,,,,,,,,,,,,,
NC,3.090909,7.5,3.363636,4.454545,45.409091,6.727273,60.863636,161.090909,161.727273,9.363636,11.136364,22.090909,9.909091,4.363636,8.227273,2.818182,4.863636,6.409091,42.090909,32.318182,55.954545,10.818182,5.727273,28.5,5.863636,477.181818,484.5,273.954545,279.954545,85,47.5,24.318182,24.272727,50,7.818182,1.272727,2,11.454545,45.181818,11.409091,17.681818,56.818182,12.409091,1.136364,12.772727,3,2644.318182,,,,,,,,,,,,,,
WP,40.272727,31.727273,14.181818,19.045455,106.818182,28.272727,267.136364,275.363636,347.045455,48.090909,51.5,101.363636,35.5,22.863636,48.363636,18.5,17.681818,37.909091,303.727273,136.909091,224.090909,41.227273,24.909091,69.227273,41.545455,806.636364,761.681818,712.545455,644.681818,222.363636,166.863636,93,89.545455,141.636364,34.409091,3.409091,8.409091,54.590909,41.5,44.454545,48.545455,191.272727,37.136364,4.363636,35.318182,23.227273,6518.863636,,,,,,,,,,,,,,
SS,11.136364,29.863636,8.090909,7.454545,34.727273,10.409091,31.045455,67.954545,84.136364,12.181818,16.727273,26.863636,13.863636,12.181818,6.181818,3.545455,6.409091,4.909091,25.318182,24.590909,24.272727,5.818182,10.772727,11.818182,16.409091,608.090909,788.409091,460.5,402.772727,120.454545,107.727273,38.181818,70.5,77.409091,18.181818,2.363636,22.772727,11.136364,42.954545,18.363636,26.272727,53.636364,69.545455,7.727273,2.227273,1.818182,3457.727273,,,,,,,,,,,,,,
SB,19.454545,40.681818,10.363636,10.090909,38.681818,15.272727,26.136364,64.727273,82.863636,21.863636,25.863636,33.681818,17.454545,16.409091,13.772727,6.136364,4.909091,7.045455,23.636364,28.590909,22.318182,6.681818,7.363636,11.863636,28.409091,643.5,755.045455,443.318182,349.318182,137,123.863636,64.954545,117.863636,120.681818,44.227273,9.5,13.727273,17.136364,49.545455,28.318182,14.136364,57.681818,49.590909,3.681818,4.772727,2.045455,3634.181818,,,,,,,,,,,,,,
SO,55.272727,113.636364,66.090909,97.227273,202.045455,64.181818,114.318182,104.545455,125.272727,43.181818,66.545455,36.318182,42.954545,28.909091,21.409091,16.590909,20.636364,29.863636,138.045455,170.318182,178.909091,96.818182,93.454545,144.909091,129.136364,413.954545,441.818182,766.863636,357.454545,157.636364,140.590909,91.545455,102.272727,183.181818,124.681818,19.909091,114.681818,64.863636,200.045455,53.545455,48.136364,62.318182,251.954545,35.727273,20.045455,14.727273,5866.545455,,,,,,,,,,,,,,
MB,30.181818,66.136364,30.954545,41,159.454545,36.818182,69.318182,124.681818,133.590909,17.863636,29.090909,30.363636,9.727273,9.590909,7.318182,6.636364,3.409091,4.227273,30.227273,23.772727,21.227273,10.227273,11.181818,22.045455,35.954545,1001.045455,1315.772727,660.136364,545.409091,220.818182,190.136364,126.409091,158.909091,258.318182,84.090909,4.409091,19.409091,12.227273,33.681818,72.727273,36.318182,240.727273,47.772727,4.318182,5.636364,0.681818,6003.954545,,,,,,,,,,,,,,
WD,6.272727,17.045455,9.545455,8.681818,52.272727,13.727273,26.590909,113.545455,120.772727,93.227273,68.772727,106.136364,50.636364,76.818182,33.545455,17.5,21.090909,27.045455,3,4,3,0.454545,0.454545,4.090909,9.590909,844.5,792.181818,322.454545,299.5,88,41.318182,27.772727,23.590909,56.136364,4.636364,70.545455,44.5,0.863636,3.545455,7.5,5.5,38.681818,5.772727,16.5,34.727273,5.863636,3621.909091,,,,,,,,,,,,,,
OA,10.772727,32.363636,28.136364,35.681818,87.318182,25.363636,26.181818,40.454545,48.545455,17.227273,11.136364,35.363636,7.409091,5.909091,9.727273,5.818182,16.5,24.454545,30.454545,44.136364,38.863636,22.181818,15.727273,18,8.045455,173.727273,129.727273,95.090909,70.954545,23.681818,21.954545,14.5,7.409091,15.318182,1.545455,7.727273,69.272727,12.5,30.318182,2.136364,3.590909,26.590909,5.181818,32.545455,10.090909,10.454545,1410.090909,,,,,,,,,,,,,,
WS,9.5,31.136364,10.954545,16.318182,117.5,22.590909,35.818182,107,93.681818,95.727273,60.045455,125.454545,47.409091,51.863636,69.954545,44.545455,37.363636,36.363636,11.681818,9.681818,6.045455,2.318182,2.954545,9.363636,12.5,661.636364,706.727273,277.772727,239.181818,59.181818,24.181818,15.136364,16.5,33,1.590909,8.636364,20.409091,2.181818,22.272727,2.090909,1.954545,17.272727,1.454545,7.363636,9.318182,27.954545,3223.590909,,,,,,,,,,,,,,
Entries,4302.636364,8058.772727,4793.772727,4347.318182,11354.772727,5356.727273,8709.590909,13347.818182,13386.181818,7180.818182,7909.181818,6823.5,6058.045455,5548.272727,4702.409091,3156.681818,4714.363636,6673.954545,5937.090909,7805.181818,6548.909091,3343.590909,2921.545455,5311.636364,7716.090909,40651.227273,43518.363636,29523.590909,24317.681818,12228.863636,12432.863636,7630.181818,10868.227273,9160.727273,4365.409091,2834.727273,8236.136364,2800.954545,6523.5,3552,3578.909091,6041.181818,6493.136364,3475.590909,1363.045455,3256.090909,408861.272727,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
