Exit stations,Entry stations->,,WEEKDAY,,,Apr 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
ED,3.272727,8.454545,1.590909,1.454545,9.318182,5.272727,11.818182,9.363636,9.636364,32.636364,54.863636,67.863636,32.863636,44.227273,19.590909,10.272727,11.045455,9.727273,2.818182,2.181818,1.272727,0.5,0.227273,1.409091,7.681818,90.272727,71.636364,97,71.954545,26.681818,16.090909,7.681818,7.818182,12.272727,2.318182,28.363636,8.272727,0.272727,2.636364,2.909091,1.227273,19.136364,2.136364,12.818182,13.136364,4.772727,4.318182,5.136364,0.409091,1.954545,870.590909,,,,,,,,,,,,,
NC,1.090909,2.272727,1.181818,1,2.545455,0.590909,5.272727,7.863636,6.818182,1.090909,1.5,3,0.909091,2.045455,0.545455,1.318182,0.363636,1.227273,9,5.409091,5.772727,1.454545,0.772727,2.5,0.863636,23.272727,25.590909,27.409091,31.818182,10.181818,9.818182,1.545455,1.954545,0.5,0.727273,0.181818,0.136364,1.727273,11.090909,4.227273,0.636364,9.954545,0.318182,0.181818,2.5,0.363636,0.772727,0.136364,7.318182,8.636364,247.409091,,,,,,,,,,,,,
WP,4.090909,7.727273,2.227273,3.181818,11.954545,2.954545,28.227273,26.954545,29.636364,3.318182,8.045455,10.409091,4.5,2.954545,3.909091,3.727273,1.818182,3.909091,60.363636,24.545455,39.318182,6.045455,5.772727,10,7.090909,83.045455,80.409091,131,97.636364,51.045455,40.409091,11.590909,12,12.181818,8.363636,0.227273,1.454545,11.545455,7.454545,4.636364,8.909091,29.090909,3.818182,0.136364,6.681818,1.090909,0.818182,1.272727,6.181818,12.772727,936.454545,,,,,,,,,,,,,
SS,5.909091,8.409091,2.318182,1.272727,4.409091,2,4.590909,6.227273,13.863636,4,2.772727,3.818182,3.363636,4.681818,2.727273,1.363636,1.318182,1.318182,3.954545,5.272727,2.636364,0.818182,0.681818,2.772727,4.090909,39.181818,40.409091,82.681818,58.409091,37.636364,41.818182,9.681818,20.863636,19.5,6.590909,1.272727,2.454545,3.909091,5.5,3.227273,9.090909,17.636364,9.272727,0.181818,0.318182,1.045455,0.227273,0.272727,1.090909,7.136364,514,,,,,,,,,,,,,
SB,9.954545,10.227273,1.818182,1.772727,4.909091,4.454545,4.363636,6.5,10.5,2.227273,7.636364,7.863636,5.136364,5.636364,5.909091,2.045455,0.727273,1.818182,8.409091,5.954545,4.272727,1.545455,1.136364,2.090909,6.090909,31.363636,41.863636,79.454545,59.181818,45.227273,44.636364,24.090909,34.681818,38.454545,13.772727,2.681818,1.363636,1.772727,9.545455,8.909091,4.863636,12.727273,6.181818,0.772727,1.136364,0.272727,1.363636,0.272727,2.636364,4.545455,594.772727,,,,,,,,,,,,,
SO,9.409091,18.318182,8.090909,8.272727,10.181818,5.863636,17.136364,10.863636,14.454545,4.5,10.727273,6.136364,9.136364,6.545455,4.909091,2.863636,3.545455,2.454545,29.227273,22.454545,24.863636,10.954545,8.545455,13.090909,16.681818,28.272727,31.272727,72.409091,43.363636,31.363636,22.818182,12.954545,27.5,40.545455,35.863636,2.045455,16.045455,11.818182,30.954545,15.136364,9.909091,13.045455,40.5,4.181818,3.272727,1.318182,1.818182,0.818182,4.136364,31.272727,811.863636,,,,,,,,,,,,,
MB,8.318182,10.545455,5.136364,1.590909,10.045455,2.909091,6.272727,5.5,9.909091,1.772727,3.227273,7.045455,2.318182,2.181818,0.863636,1.590909,0.772727,0.772727,7.181818,2.409091,2.136364,1.318182,0.454545,0.954545,7.045455,21.636364,40.863636,46.363636,44.818182,30.363636,21.681818,12.409091,26.909091,29.318182,14.272727,0.727273,2.090909,0.318182,3.136364,8.909091,4.545455,43.681818,8.363636,0.045455,0.681818,0.181818,0.181818,0.090909,0.272727,6.136364,470.272727,,,,,,,,,,,,,
WD,1.954545,3.409091,1.636364,0.227273,1.727273,0.909091,2.681818,4.772727,2.772727,19.772727,25.272727,21.409091,20.5,25.136364,12.181818,9.636364,6,2.590909,1.409091,0.090909,0.636364,0,0.045455,0.181818,2.045455,35.590909,28.227273,36.090909,20.909091,10.409091,9.5,4.454545,4.681818,2.136364,0.227273,16.5,13.863636,0.681818,0.272727,0.227273,0.681818,3.272727,0.227273,4,5.318182,1.318182,2.545455,0.636364,0.090909,0.272727,369.136364,,,,,,,,,,,,,
OA,2.863636,8.090909,3.5,3.363636,7.136364,3.409091,5.136364,4.636364,4.090909,4.136364,4.454545,9.136364,2.590909,0.772727,2.227273,1.454545,2,4.545455,9.045455,6.363636,6.045455,3.272727,1.363636,2.272727,1.318182,11.772727,7.5,11.136364,7.818182,5.636364,4.181818,1.863636,3.727273,2.181818,0.318182,1.136364,12.136364,2.909091,5.409091,0.545455,1.045455,3.409091,0.454545,4.227273,1.090909,1.363636,1.727273,2.090909,1.181818,6.772727,204.863636,,,,,,,,,,,,,
WS,3.818182,5.5,1.818182,3.181818,6.454545,4.181818,3.454545,7.636364,5.636364,14.136364,16.954545,18.227273,14.227273,12.409091,15.409091,18.681818,21.636364,13.136364,2.727273,1.318182,0.636364,0.318182,0.318182,0.681818,1.863636,11.636364,12.227273,11.772727,7.909091,5.045455,2.772727,0.909091,3.090909,4.136364,0.5,1.863636,4.590909,0.409091,1.636364,0.909091,0.227273,1.772727,0.045455,1.409091,1.090909,2.181818,17.181818,16.136364,0.136364,1.090909,305.045455,,,,,,,,,,,,,
