Exit stations,Entry stations->,,WEEKDAY,,,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
GP,14.636364,17.772727,2.590909,3.545455,6.272727,3.772727,13.545455,14.136364,15.909091,9.818182,17.454545,16.363636,7.818182,7.636364,9.5,4.136364,3.772727,1.136364,9.681818,7.181818,3.681818,1.545455,1.318182,2.909091,10.636364,62.181818,94.590909,140.272727,81.227273,45,38.681818,5.409091,17.090909,15.863636,11,2.318182,4.772727,1.818182,9,6.772727,17.409091,8,8.227273,3,1.5,1.636364,1.636364,1.045455,3.909091,9.409091,798.545455,,,,,,,,,,,,,
BP,22,21.454545,5.272727,3.5,10.772727,7.227273,8.727273,12.909091,24.363636,12.227273,19.454545,13.272727,10.727273,12.045455,8.863636,4.181818,2.863636,3.590909,9.5,2.227273,4.636364,1.590909,1.772727,2.818182,18.727273,119.863636,159.045455,354.681818,182.136364,101.318182,82.772727,16.5,7.727273,19.636364,21.727273,2.409091,5.954545,0.954545,10.227273,19,32.727273,19.772727,22,2.590909,2.272727,2.863636,0.545455,1.045455,2.181818,5.227273,1439.909091,,,,,,,,,,,,,
DC,11.181818,15.181818,2.954545,4.727273,7.590909,3.363636,8.909091,13.227273,23.181818,12.863636,16.954545,11.5,10.409091,7.727273,6.954545,3.545455,5.5,2.909091,6.545455,4.136364,10.272727,1.181818,1.409091,2.045455,17.454545,114,136.818182,255.045455,164.272727,96.636364,68.045455,15.863636,21.681818,8.454545,8.863636,2.454545,10.045455,1.818182,9.727273,15.454545,27.590909,31.045455,24.545455,3.136364,1.727273,2.409091,2.136364,1.863636,2.863636,14.090909,1252.318182,,,,,,,,,,,,,
CM,4.818182,7.681818,0.954545,1.454545,3.090909,1.909091,3.272727,6.136364,10.181818,2.545455,3,2.863636,3.136364,3.181818,2.318182,2.863636,3.727273,1.363636,2.181818,1.5,0.818182,1.045455,0.181818,0.681818,3.272727,39.909091,46.181818,99,72.681818,35.272727,34.818182,13.409091,20.454545,8.181818,2.727273,1.136364,2,0.590909,5.5,4.181818,13.681818,27.681818,18.636364,0.409091,0.136364,0.863636,0.181818,0.363636,3.681818,9.363636,535.227273,,,,,,,,,,,,,
CV,0.727273,1.909091,1.681818,0.590909,2.409091,2.863636,2.090909,2.909091,3.272727,16.409091,21.590909,11.318182,15.090909,12.5,4.363636,5.272727,3,5.136364,0.227273,0.954545,1.818182,0.136364,0.227273,0.181818,3.590909,30.227273,28.727273,35.363636,27.272727,9.227273,7.090909,2,3,2.545455,1.636364,1.909091,24.090909,0.090909,0.090909,0.727273,1.5,2.590909,0.409091,15,1,1.545455,0.636364,0.5,0.318182,0.272727,318.045455,,,,,,,,,,,,,
ED,3.409091,9.090909,1.090909,1.636364,4.954545,2.5,10.272727,7.272727,7.363636,32.136364,56.181818,24.363636,21.136364,38.318182,16.136364,10.545455,10.5,11,2.5,1.636364,2.363636,0.818182,0.545455,1.227273,8.636364,65.818182,64.863636,67.863636,66.954545,22.227273,12.272727,5.409091,6.454545,12.318182,1.954545,24.045455,5.727273,0.5,1.272727,1.590909,1.590909,9.5,1.272727,6.636364,6.090909,3.5,2.227273,5.5,0.772727,0.954545,682.954545,,,,,,,,,,,,,
NC,0.954545,2.272727,1.181818,0.818182,1.636364,0.545455,3.409091,8.818182,4.818182,0.909091,1.863636,1.272727,1.5,2,0.227273,0.5,0.363636,0.5,11.363636,4.772727,4.909091,1.636364,0.181818,3.181818,0.5,16.590909,24.363636,25.5,19.545455,7.545455,6.681818,2.409091,1.136364,1.727273,0.681818,0.909091,0.227273,1.454545,5.272727,1.545455,1.045455,6.545455,0.272727,0.090909,1,0.181818,0.136364,0.181818,4.409091,4.409091,194,,,,,,,,,,,,,
WP,5.045455,7.045455,1.318182,2.454545,7.863636,3.772727,30.772727,18.5,26,3.090909,6.454545,7.090909,3.318182,2.090909,3.409091,3.863636,2.590909,2.409091,47.636364,21.454545,31.409091,10.045455,4.181818,9.545455,7.545455,66.5,67.954545,104.090909,89,35.227273,34.454545,8.454545,10.090909,12.5,6.545455,0.181818,2.090909,5.954545,7.636364,2.681818,8.181818,16.545455,1.318182,0.227273,4.136364,2.045455,1.136364,0.954545,5.818182,12.318182,774.954545,,,,,,,,,,,,,
SS,4.772727,10,0.545455,1.681818,3.772727,1.5,3.318182,5.636364,10.090909,2,4.045455,2.363636,2.727273,3.545455,2.454545,2.454545,1.863636,0.727273,4.727273,3.5,1.545455,0.136364,0.272727,1.181818,6.727273,36.318182,30.090909,62.636364,43.272727,31.454545,28.454545,5.318182,16.636364,13.409091,7.363636,1,1.5,0.727273,3.045455,3.545455,6.272727,12.090909,8.409091,0.227273,0.090909,0.090909,0.272727,0.227273,1.045455,7.272727,402.363636,,,,,,,,,,,,,
SB,12.181818,9.454545,2.681818,0.681818,1.909091,3.681818,4.454545,7.272727,9.318182,3.136364,8.363636,4.5,3.272727,4.363636,2.227273,3.090909,2.227273,3.727273,8.727273,4.863636,2.545455,0.454545,0.454545,1.681818,5.727273,23.409091,34.818182,52.227273,41.636364,30.227273,31.818182,18.045455,39.5,31.863636,12.181818,1.863636,1.954545,0.909091,8.681818,7.272727,2.590909,9.772727,6.954545,0.136364,0.363636,0.045455,1.5,0.181818,3.363636,5.954545,478.272727,,,,,,,,,,,,,
SO,6.772727,14.454545,3.227273,3.318182,5.909091,2.090909,7.863636,7.318182,8.727273,3.681818,4.772727,3.727273,8.227273,4.863636,2.727273,1.318182,2.090909,1.227273,16.272727,13.272727,9.863636,3.409091,3.318182,3.545455,12.454545,13,11.681818,31.090909,23.409091,17.136364,13.636364,6.636364,21.727273,27.318182,22.681818,2.454545,7.545455,5.636364,17.772727,10.318182,9.409091,6.772727,23.863636,1.727273,1.5,1.045455,0.227273,0.181818,2.863636,21.363636,455.454545,,,,,,,,,,,,,
MB,7.045455,10,3.909091,0.818182,7.409091,2.5,5.636364,6.5,7.181818,2.545455,4.818182,2.863636,2.772727,2.363636,5.454545,1.772727,0.681818,0.590909,5.181818,1.272727,1.272727,1.318182,0.545455,1.181818,4.590909,14.545455,26.818182,36.454545,37,22.454545,18.772727,5.5,23.5,29.863636,18.545455,0.227273,1.318182,0.318182,2.227273,6.227273,5.636364,29.5,5.545455,0.318182,0.363636,0.454545,0.090909,0.045455,0.636364,5.363636,381.954545,,,,,,,,,,,,,
WD,0.681818,1,0.590909,0.454545,1.909091,0.590909,2.681818,3.590909,3.181818,13.909091,23.5,8.545455,14.636364,20.636364,5.454545,7.181818,6.181818,2.227273,1.590909,0.181818,0.454545,0.045455,0.136364,0.181818,0.727273,21.772727,16.863636,20.681818,22.909091,8.727273,4.772727,3.818182,2.909091,3.545455,0.545455,18.727273,9,0.181818,0.272727,0.227273,0.363636,1.409091,0.454545,2.863636,2.727273,1.727273,0.454545,1.318182,0.045455,0.272727,266.863636,,,,,,,,,,,,,
OA,1.181818,4.181818,1.045455,1.136364,2.363636,1.227273,2.181818,1.954545,2.590909,2.590909,2.318182,3.590909,1.681818,1.227273,0.863636,1.909091,0.909091,1.863636,3.772727,4.136364,2.954545,0.909091,0.272727,0.727273,0.909091,4.454545,3.272727,6.5,3.727273,2,2.090909,1.045455,2.954545,1.272727,0.090909,0.545455,5.136364,0.636364,3.818182,0.454545,0.545455,2.181818,0.318182,1.727273,0.590909,0.727273,0.727273,0.363636,0.318182,3.272727,97.272727,,,,,,,,,,,,,
WS,2.181818,4.818182,1.181818,3.318182,3.409091,2.454545,3.363636,5.909091,3.272727,9.590909,14.045455,13.863636,9.363636,8.090909,17.136364,15.681818,16.227273,11.272727,0.318182,1.5,0.181818,0,0.136364,0.090909,0.954545,8.090909,10.272727,6.636364,7.363636,3.863636,1.636364,2.181818,3.090909,3,0.954545,2.5,3.954545,0.090909,2.090909,0.045455,0.181818,1.545455,0.136364,1.454545,0.681818,2.590909,5.681818,13,0.954545,1.181818,231.545455,,,,,,,,,,,,,
ML,2.545455,3.818182,1.090909,1.545455,2.181818,0.727273,3.272727,3.272727,4,4.090909,4.772727,3.681818,2.818182,5.318182,8.090909,7.045455,7.909091,12.045455,0.909091,0.363636,0.136364,0.272727,0.045455,0.136364,0.909091,6.136364,10.136364,7.318182,6.681818,1.409091,1.045455,1.318182,0.909091,2.409091,0.590909,0.5,2.636364,0.136364,1.318182,0.227273,0.909091,0.272727,0.045455,0.454545,0.681818,7.863636,2.181818,3.136364,0.227273,0.545455,140.090909,,,,,,,,,,,,,
BE,2.727273,4.818182,1.772727,0.681818,7.636364,3.181818,5.136364,8.090909,6.363636,7.727273,10.772727,6.636364,6.5,4.5,10.818182,8.818182,13.181818,17.545455,2.227273,1.363636,1.181818,0.272727,0.590909,0.318182,2.590909,11.5,13.909091,12.772727,9.681818,4.727273,2.727273,1.318182,1.409091,2.909091,0.545455,0.590909,5.5,0.318182,1.181818,0.318182,0.272727,0.5,0.136364,1.045455,0.863636,14.454545,3.681818,3.772727,0.727273,1.454545,231.772727,,,,,,,,,,,,,
PC,4.363636,1.863636,1.818182,0.363636,1.272727,0.681818,18.636364,7.409091,8.772727,2,5.818182,4.363636,3.954545,0.727273,1.863636,1.727273,1.136364,0.818182,32.818182,10.318182,17.772727,2.590909,2,5.681818,2.863636,15.681818,11.636364,24.090909,23.636364,9.363636,7.681818,4.954545,2.409091,3.5,1.545455,0.181818,0.454545,4.136364,6.272727,1.318182,3.772727,2.545455,0.681818,0,0.454545,0.363636,0.181818,0.454545,2.590909,9.590909,279.136364,,,,,,,,,,,,,
