Exit stations,Entry stations->,,WEEKDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
GP,16.944444,19.555556,3.888889,3.5,5.888889,4.166667,14.5,14.333333,16,13.333333,16.944444,12.833333,13.722222,8.944444,7.5,6.888889,2.111111,1.777778,9.611111,6.833333,2.888889,1.722222,1.111111,5.833333,12.166667,68.111111,118.722222,174.722222,86,48.222222,44.833333,4.222222,12.277778,17.777778,13.888889,2.111111,4.277778,2.555556,7.555556,7.277778,18.611111,10.888889,10.222222,3.444444,1.666667,1.722222,1.166667,0.833333,3.055556,12.055556,899.222222,,,,,,,,,,,,,
BP,20.5,23.722222,5.222222,4.555556,11.722222,6.166667,8.111111,15.055556,22.111111,18.888889,24.777778,17.111111,12.444444,13.777778,8.444444,5.833333,3.333333,3.444444,9.722222,2.888889,4.722222,1.833333,1.277778,3.444444,20.166667,137.166667,188.055556,435.111111,203.888889,97.833333,93.555556,12.777778,8.111111,18.833333,19.611111,3.277778,5.722222,1.611111,11.888889,14.722222,42.777778,25.111111,26.055556,2.888889,1.666667,1.277778,0.722222,2.388889,1.388889,6.555556,1632.277778,,,,,,,,,,,,,
DC,10.5,16.333333,3.055556,5.111111,9.333333,4.111111,11.666667,13.944444,20.277778,13.333333,20.5,18.944444,13.222222,10.277778,6.555556,3.111111,3.388889,4.055556,7.388889,4.944444,7.166667,1.777778,1.222222,1.611111,12.777778,130.611111,147.166667,294.611111,168.944444,96.833333,82.055556,18.055556,23.277778,7.666667,8.388889,2.833333,13.833333,2.611111,8.888889,15.444444,31.777778,40.833333,32,3.555556,1.166667,2.111111,2.888889,2.666667,3.444444,15,1381.277778,,,,,,,,,,,,,
CM,6.055556,8.111111,1.111111,1,2.666667,1.333333,5.388889,9.277778,12.722222,2.5,2.166667,1.777778,3.388889,3.166667,1.833333,1.611111,3.166667,2.111111,3.222222,2.722222,2.888889,1,0.388889,1.111111,5.777778,49.833333,53.111111,106.944444,75.444444,37.777778,38.166667,14.555556,21.222222,10.944444,2.888889,0.944444,2.5,0.611111,7.277778,5.277778,15.333333,29.611111,15.777778,0.055556,0.222222,1.111111,0.166667,0.166667,3.277778,8.666667,588.388889,,,,,,,,,,,,,
CV,1.166667,1.444444,2.222222,1,3.888889,1.444444,3.888889,2.055556,3.555556,22.388889,15,11.888889,15.944444,10.388889,3.611111,3.666667,5.777778,5.388889,0.611111,0.055556,1.277778,0.277778,0.277778,0.333333,2.944444,34,35.944444,38.277778,28.666667,14.611111,5.666667,2.333333,2.722222,4.166667,0.777778,3,25.833333,0.055556,0.222222,1.277778,1.944444,3,0.777778,19.5,0.666667,1.333333,0.611111,0.5,0.166667,0.611111,347.166667,,,,,,,,,,,,,
ED,3.444444,9.388889,1.055556,1.611111,7.833333,2.833333,10.222222,7.166667,8.333333,31.666667,54.5,24.722222,30.722222,44.666667,15.944444,12.777778,12.833333,11.555556,2.611111,1.222222,0.833333,0.944444,0.444444,1.722222,8.333333,74.444444,69.388889,79.166667,72.666667,19.277778,12.222222,5.888889,5.444444,16.555556,2.777778,24.444444,8.111111,0.388889,1.388889,2.722222,1.944444,15.222222,0.944444,6.5,8.333333,3.888889,4.611111,5.333333,0.444444,1.555556,751.055556,,,,,,,,,,,,,
NC,0.722222,2.388889,1.111111,1.277778,1.833333,0.666667,3.444444,7.5,5.666667,2.666667,0.777778,1.166667,1.055556,1.833333,1.333333,0.166667,0.055556,0.333333,9.888889,5.277778,6.777778,2.055556,0.388889,2.722222,0.888889,15.888889,22.611111,28.777778,25.055556,6.944444,6.5,2.444444,1.666667,2.722222,0.555556,0,0.611111,1.111111,10.888889,2.777778,1.722222,9.888889,0.611111,0.055556,1.5,0.166667,0.111111,0.333333,7.833333,7.277778,220.055556,,,,,,,,,,,,,
WP,2.944444,7.666667,1.666667,2.666667,11.333333,2.888889,34.722222,25.055556,29.111111,4.5,7.388889,6.666667,5,2.722222,2.611111,2.944444,3.055556,2.666667,53.777778,22.444444,36.833333,7.055556,3.722222,10.666667,7.333333,77.777778,76.777778,119.777778,93.222222,43.333333,37.444444,7.944444,12.555556,14.666667,6.444444,0.5,1.833333,11.277778,6.777778,5.722222,7.611111,25,2.611111,0.111111,4.777778,2,0.444444,1.555556,5.388889,14.444444,877.444444,,,,,,,,,,,,,
SS,5.555556,7.5,1.888889,0.833333,3.444444,1.333333,3.888889,3.333333,11.944444,2.5,3.666667,4.055556,3.555556,4.611111,3.166667,2.611111,1.555556,1.111111,4.277778,3.388889,1.388889,0.111111,0.944444,1.444444,5.555556,33,39.111111,70.944444,55.388889,27.555556,34.611111,6.444444,14.222222,17.166667,4.944444,0.888889,2.111111,1.722222,5.5,3.666667,6.944444,14.888889,8.666667,0.166667,0.388889,0.888889,0.222222,0.222222,1.611111,7.777778,442.722222,,,,,,,,,,,,,
SB,11.055556,8.444444,1.833333,0.666667,4.388889,3.777778,4.722222,6.166667,9.055556,3.222222,6.944444,6.222222,4.333333,5.111111,4.666667,3.333333,0.888889,3.944444,9.444444,3.944444,4.222222,0.444444,1.166667,2.444444,9.944444,24.666667,43.333333,66.277778,50.555556,36,41.388889,19.833333,41.611111,38.5,15.166667,1.777778,2.166667,2.666667,9,7.555556,3.444444,10.833333,6.222222,0.277778,0.888889,0,1.555556,0.444444,2.055556,7.388889,554,,,,,,,,,,,,,
SO,7.888889,18.388889,5.388889,3.666667,9.388889,4.111111,13.333333,9.277778,13.833333,5.388889,8.111111,6.5,8.166667,6.388889,4.944444,2.388889,2.888889,2.166667,24.611111,17.722222,16.666667,6.277778,5.777778,7,13.166667,17.166667,19.555556,53.611111,34.833333,26.777778,15.888889,9,26.222222,37.5,23.555556,1.777778,13,8.666667,25.777778,11.944444,8.611111,9.722222,31.611111,2.666667,2.222222,0.833333,0.666667,0.333333,4.611111,25.722222,635.722222,,,,,,,,,,,,,
MB,6.055556,11.277778,3.944444,1.555556,8.944444,2.944444,6.055556,5.666667,7.277778,2.166667,4,3.944444,1.222222,3.666667,4.055556,2.166667,0.444444,0.833333,5.611111,1.5,2.777778,1.277778,0.833333,1,4.055556,13.666667,29.5,38.277778,42.666667,22.5,19.722222,11.055556,26.777778,31.722222,13.5,0.555556,1.166667,0.611111,2.222222,5.444444,4.944444,31.5,4.444444,0.055556,0.5,0.055556,0.166667,0,0.388889,4.611111,399.333333,,,,,,,,,,,,,
WD,1.222222,1.666667,1.277778,0.666667,2.833333,1,2.222222,3.388889,3.277778,17.833333,21.666667,9.5,17.555556,25.166667,7.888889,9.166667,5.722222,3.166667,2.277778,0.5,0.555556,0.222222,0.055556,0.166667,1.333333,25.222222,18.888889,28,22.166667,7.111111,6.277778,5.333333,3.333333,3.777778,0.166667,20.833333,9.777778,0.444444,0.111111,0.277778,0.555556,2.777778,0.166667,2.444444,2.722222,1.222222,2.444444,1.944444,0,0.388889,306.722222,,,,,,,,,,,,,
OA,1.333333,4.5,1.611111,2,6.388889,2.111111,2.277778,3.222222,2.222222,2.833333,2.388889,4.611111,1.5,0.888889,0.833333,2,2.333333,2.222222,5.055556,4.444444,3.222222,1.555556,0.388889,1.055556,1.222222,5.944444,5.166667,7.055556,5.333333,2.722222,2.111111,1.555556,2.777778,0.944444,0.111111,0.833333,6.055556,1.166667,4.833333,0.388889,0.722222,3.444444,0.333333,1.722222,0.444444,0.666667,0.666667,1.166667,0.722222,4.055556,123.166667,,,,,,,,,,,,,
WS,5.166667,3.833333,1,2.388889,3.5,4.111111,3.277778,6.5,9.444444,12.888889,19.388889,14.666667,14.555556,15.055556,18.333333,18,24.111111,11.388889,1.111111,1.666667,0.222222,0.444444,0.111111,0.388889,1.5,8.777778,11.777778,9.444444,8.722222,4.555556,3.333333,1.444444,1.666667,2.944444,1.388889,2,4.166667,0.055556,2.222222,0.833333,0,1.777778,0.055556,2,0.833333,2.777778,8.222222,13.833333,0.111111,1.222222,287.222222,,,,,,,,,,,,,
