Exit stations,Entry stations->,,WEEKDAY,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
NC,3.136364,3.136364,1.136364,1.409091,8.454545,1.318182,7.5,8.954545,12.181818,2.590909,1.681818,4.590909,3.636364,2.545455,1.227273,0.681818,0.454545,1.045455,13.590909,10.636364,10.954545,2.636364,1.772727,8.045455,1.954545,44.681818,45.181818,45.5,47.681818,11.181818,13.090909,4.636364,3.772727,6.136364,1.772727,0.863636,0.272727,2.636364,11.181818,3.636364,2.136364,19.727273,0.863636,0.409091,5.636364,0.772727,0.181818,0.545455,8.409091,11.409091,407.590909,,,,,,,,,,,,,
WP,6.454545,7.590909,4.636364,3.090909,24.818182,3.318182,37.772727,33.136364,38.181818,6.227273,12.045455,13,6.954545,4.272727,6.772727,3.590909,3.545455,3.181818,78.545455,34.636364,47.590909,12.863636,7.772727,16.636364,9.545455,120.5,111.681818,183.318182,137.545455,62.681818,51.045455,17.545455,22.318182,25.636364,9.363636,0.181818,3.090909,9.136364,9.272727,9.409091,11.181818,47,4.318182,0.5,11.727273,4.636364,1,1.863636,12.090909,15.545455,1308.772727,,,,,,,,,,,,,
SS,6,12.136364,4,2.590909,11.590909,2.909091,7.863636,10.227273,17.409091,4.545455,5.318182,4.954545,5.318182,6,3.045455,2.727273,1.045455,0.636364,4.590909,5.5,8.272727,1.227273,2,3.227273,8.863636,74.409091,88.454545,121.318182,94.181818,58.590909,56.636364,17.136364,38.409091,43.636364,9.954545,2.636364,4,3.590909,8.272727,7.090909,13.5,33.409091,18.5,1.318182,0.727273,1.045455,0.227273,1.863636,1.227273,10.954545,853.090909,,,,,,,,,,,,,
SB,9.318182,12.045455,3,2.727273,13.136364,6,7.272727,9.727273,11.772727,4.590909,10.090909,8.136364,6.318182,5.681818,6.681818,2.454545,0.727273,2.090909,11.136364,7.863636,6.090909,3.318182,0.772727,5.727273,11.090909,61.409091,81.090909,118.727273,90.136364,66.272727,58.636364,33.045455,56.818182,63.863636,22.909091,2.545455,2.5,2.863636,9.454545,15.090909,12,35.818182,15.909091,0.863636,1.227273,0.409091,1,0.318182,3.227273,9.5,933.409091,,,,,,,,,,,,,
SO,17.954545,44.954545,20.909091,31.727273,47.727273,21.454545,43.318182,36,39.5,11.909091,20.863636,11.454545,12.818182,10.772727,7.454545,5.727273,7.818182,7.681818,52.590909,57.090909,59.136364,33.5,27.136364,51.5,45,95.5,101.090909,290.181818,141.545455,89.818182,66.772727,36.590909,50.454545,81.590909,60.5,6.636364,38.090909,18.818182,46.318182,23.909091,23.363636,28.772727,119.045455,9.954545,9.045455,2.5,3.863636,1.636364,7.227273,50.318182,2129.545455,,,,,,,,,,,,,
MB,6.863636,22.136364,7.954545,5.272727,42.090909,7.181818,14.954545,12.136364,22.636364,2.318182,6.090909,7.409091,3.136364,4.454545,3.181818,1.590909,1.181818,1.090909,7.181818,4.727273,4.954545,1.636364,0.954545,3.863636,13.227273,63.772727,104.863636,102.363636,93.863636,57.272727,54.545455,30.681818,58.045455,77.545455,23.045455,0.636364,3.136364,0.636364,3.727273,16.272727,12.954545,150.045455,22.590909,0.409091,2.318182,0.318182,0.5,0.045455,1.590909,7.409091,1096.818182,,,,,,,,,,,,,
WD,2.318182,3.227273,1.590909,1.090909,11.818182,1.590909,5.090909,10.454545,7.909091,27.090909,27.954545,21.181818,23.181818,25.227273,13.136364,9.5,8.636364,5.454545,2.363636,2.545455,1.181818,0.181818,0.136364,0.909091,4.136364,89.409091,58.318182,51.590909,53.045455,17.818182,12.636364,6.863636,6.681818,11.045455,0.318182,26.545455,13.772727,0.863636,0.727273,1.363636,0.954545,13.818182,0.772727,6.272727,11.181818,3.318182,2.681818,5.863636,0.318182,0.5,614.590909,,,,,,,,,,,,,
OA,4.909091,14.681818,9.863636,12.227273,36,11.272727,13.727273,14.136364,16.136364,11.227273,6.818182,16.545455,4.045455,2.727273,3.772727,3.681818,7.954545,9.363636,14,18.772727,15.090909,7.181818,5,6.363636,4.409091,38.454545,27.181818,37.681818,24.318182,9.590909,9.909091,5.727273,4.454545,5.045455,0.954545,2.863636,25.318182,5.136364,10.227273,1.136364,1.090909,9.954545,1.818182,9.272727,7.227273,4.045455,6.454545,4.954545,1.181818,12.909091,536.818182,,,,,,,,,,,,,
WS,5.772727,10.954545,3.181818,4.772727,24.090909,3.454545,9.681818,11.136364,12.590909,20.636364,25,27.954545,25.272727,22.227273,32.136364,27.909091,32,24.045455,1.727273,2.409091,0.954545,0.409091,0.363636,2.363636,5,27.181818,29.727273,23.363636,21.363636,7.727273,4.636364,2.090909,4.954545,8.954545,0.227273,4.136364,8.454545,0.318182,5.272727,1.545455,0.181818,3.454545,0.409091,2.590909,2.590909,6.318182,27.227273,43.636364,1.181818,3.636364,577.227273,,,,,,,,,,,,,
ML,3.772727,6.227273,3.681818,3.227273,41.909091,9.954545,7.681818,11.090909,12.409091,11.090909,13.954545,15.863636,11.181818,11.954545,26.136364,16.090909,28.454545,42.454545,6.272727,1.954545,2.136364,0.727273,0.681818,3.090909,1.818182,30.681818,27.227273,32.681818,21.045455,8.727273,4.727273,1.636364,3.136364,6.227273,0.772727,1.227273,7.136364,0.181818,1.090909,0.318182,1.090909,4.545455,0.272727,2.454545,5.954545,29.818182,7.954545,9,0.727273,1.409091,503.863636,,,,,,,,,,,,,
BE,6.090909,10.272727,5.590909,4.545455,59.454545,9.363636,14.863636,17.181818,17.727273,15.954545,19.545455,25.363636,19.045455,16.954545,36.272727,18.909091,42.363636,50.181818,3.954545,3.045455,3.409091,1.136364,1.590909,2.727273,5.045455,49.363636,36.545455,31.772727,32.863636,12.363636,9.045455,3.136364,3.818182,10.863636,0.5,4.818182,12.727273,0.863636,1.681818,2.090909,0.227273,2.590909,0.5,6.090909,6.727273,50.636364,8.090909,11.363636,0.454545,3.636364,713.363636,,,,,,,,,,,,,
PC,5.272727,5.772727,2.545455,0.954545,10.318182,1.863636,21,11.954545,14.363636,3.5,5.5,6.045455,5.045455,2.363636,3.045455,0.636364,2.090909,1.863636,46.727273,17.318182,21.136364,6.727273,4.409091,7.227273,3.863636,28.227273,28.227273,46.045455,29,16.045455,13.5,7.090909,5.5,11.636364,3.045455,0.181818,0.545455,10.681818,10.545455,1.227273,3.227273,6.954545,1.136364,0.272727,1.863636,1.818182,0.818182,0.727273,3.227273,16.045455,459.136364,,,,,,,,,,,,,
