Exit stations,Entry stations->,,WEEKDAY,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
WP,3.136364,3.454545,0.681818,2.863636,3.772727,1.590909,20.181818,9.909091,17.863636,2.636364,3.590909,3.772727,2.545455,0.909091,1.363636,1.727273,1.5,0.863636,31.5,10.727273,17.681818,5,1.454545,4.136364,5.181818,29.5,39.727273,43.954545,52.181818,19.590909,19.5,4.454545,4.863636,5.318182,3.863636,0,0.454545,4.545455,3.818182,1.954545,2.909091,10.727273,0.681818,0.045455,1.227273,1.045455,0,0,3.636364,11.272727,423.318182,,,,,,,,,,,,,,
SS,3.136364,5.318182,0.363636,0.272727,0.272727,0.5,1.863636,4.545455,4.409091,0.909091,1.272727,3.227273,1.863636,1.545455,1,1.363636,1.318182,0.5,1,2.636364,0.909091,0.181818,0.136364,0.818182,4.181818,15.318182,13.818182,25.409091,29.181818,16.454545,14.318182,3.181818,7.272727,8.772727,2.181818,0.818182,2.045455,0.090909,1.909091,1.772727,3.136364,5.363636,3.409091,0.045455,0.045455,0,0,0,1.227273,2.909091,202.227273,,,,,,,,,,,,,,
SB,5.5,4.318182,1.681818,0.636364,1.409091,3.545455,3.136364,3.954545,3.590909,0.727273,2.772727,2.863636,2.590909,1.272727,2.045455,1.909091,0.409091,0.363636,3.636364,2.363636,1.227273,0.090909,0.090909,0.818182,3.590909,10.363636,15.409091,16.681818,28.181818,16.227273,15.363636,9.818182,14.227273,17.227273,6.045455,0.590909,1.227273,1.772727,3,4.636364,1.318182,5.818182,4,0.227273,0.181818,0.363636,0,0,1.727273,4.090909,233.045455,,,,,,,,,,,,,,
SO,5.772727,11.5,1.227273,0.681818,2.227273,0.409091,4.727273,2.318182,4.863636,2.454545,4.363636,2.409091,7.136364,4.409091,2.090909,2.090909,1.181818,0.772727,10,4,3.818182,0.545455,1.409091,0.818182,7.681818,3.363636,4.681818,17.136364,15.772727,10.681818,5.090909,4.636364,17,21.227273,16.181818,1.227273,2.772727,3,11.363636,3.863636,4.318182,3.863636,14.636364,0.227273,1.045455,0.727273,0,0,2.5,14.181818,268.409091,,,,,,,,,,,,,,
MB,3.409091,6.954545,1.909091,0.681818,1.636364,0.818182,2,1.954545,2.454545,0.727273,1.772727,2.681818,1.090909,0.409091,1.818182,1.409091,0,1.272727,3.318182,0.590909,0.454545,0.045455,0.318182,0.272727,1.636364,7.909091,11.318182,12.863636,21.590909,11.5,8.318182,4.636364,9,11.681818,8.227273,0.636364,1.090909,0.045455,0.545455,3.181818,3.818182,12.454545,2.136364,0.181818,0.181818,0.090909,0,0,0.409091,2.227273,173.681818,,,,,,,,,,,,,,
WD,1.045455,0.863636,0.045455,0.136364,0.136364,0.454545,1.454545,1.954545,1.227273,6.681818,7.363636,6.409091,6.772727,8.227273,4.136364,3.954545,2.318182,1.045455,0.772727,0.045455,0.136364,0.181818,0.090909,0.181818,1.090909,6.272727,5.545455,7.181818,10.590909,3.181818,4.136364,2.5,0.136364,1.227273,0.045455,10.090909,6.590909,0.181818,0.090909,0.045455,0.227273,0.363636,0.136364,0.863636,0.772727,1.272727,0,0,0.045455,0,118.227273,,,,,,,,,,,,,,
OA,0.454545,1.409091,0.181818,0.5,0.409091,0.318182,0.5,0.590909,0.818182,0.636364,1.5,1.318182,0.227273,0.227273,0.318182,1,0.409091,0.318182,1.227273,1.090909,0.590909,0.227273,0.227273,0.181818,0.318182,1.045455,0.5,1.090909,1.590909,1.090909,0.909091,0.227273,0.5,0.181818,0.045455,0.136364,1.045455,0.136364,1.590909,0.181818,0.136364,1.272727,0.045455,0.227273,0.136364,0.136364,0,0,0.454545,1.318182,29,,,,,,,,,,,,,,
WS,1.909091,4.045455,0.272727,1.181818,3.045455,1.363636,3.772727,5.681818,6.181818,4.636364,9.318182,8.727273,9.636364,6.409091,15.363636,12.818182,11.863636,15.363636,1.090909,0.863636,0.454545,0.136364,0.454545,0.181818,0.772727,9.454545,6.363636,6.863636,9.318182,1.636364,3,1.772727,0.772727,2.136364,0.363636,0.772727,6.545455,0.090909,1.409091,0.090909,0.045455,0.636364,0.318182,1.045455,0.272727,1.136364,0,0,0.227273,1.454545,181.272727,,,,,,,,,,,,,,
ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
