Exit stations,Entry stations->,,WEEKDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
GP,14.157895,16.368421,3.368421,3.736842,9.368421,3.631579,11.947368,13.578947,15.105263,11.157895,17.736842,13.947368,10.368421,8.947368,7.105263,5.368421,2.368421,1.473684,11.421053,4.947368,2.210526,1.842105,1.368421,4.315789,12,66.736842,105.157895,156.947368,77.105263,49.947368,42.578947,6.842105,16.315789,16,12.052632,1.894737,3.789474,1.631579,7.105263,6.526316,18.421053,10,9,2.631579,1.052632,1.315789,0.736842,0.526316,2.421053,12.315789,836.894737,,,,,,,,,,,,,
BP,20.421053,25.263158,4.736842,3.263158,10.947368,6.210526,9.210526,14.263158,24.631579,18.578947,16.631579,14.052632,11.789474,13,9.157895,5.473684,3.684211,4.473684,10.105263,2.105263,4.789474,0.736842,1.105263,4.578947,20.578947,130.315789,168.473684,399.526316,193.210526,96.473684,84.473684,14.947368,7.473684,13.789474,18.736842,3.368421,6.526316,1,8.894737,17.052632,29.894737,19.263158,23.842105,2.789474,1.578947,2.315789,0.578947,0.631579,2.315789,6.473684,1513.736842,,,,,,,,,,,,,
DC,11.421053,17.315789,3.684211,4.736842,7.631579,4.105263,12.263158,12.526316,22.052632,9.578947,18.105263,18.368421,12.105263,7.947368,7.684211,3.421053,3.421053,4.684211,6.473684,6.052632,7.894737,1.210526,1.789474,2.263158,15.315789,117.473684,132.526316,275.263158,157.842105,104,80,17.842105,17.578947,9.210526,7.947368,1.789474,10.947368,1.210526,8.105263,15.263158,32.894737,35.947368,26.105263,2.894737,0.736842,2.157895,2.263158,1.315789,4.315789,15.368421,1303.052632,,,,,,,,,,,,,
CM,4.315789,7.736842,0.947368,1.631579,1.842105,1.368421,6.052632,5.526316,11.157895,2.421053,4.842105,1.631579,2.842105,2.684211,1.684211,2.157895,1.842105,1.473684,1.894737,1.631579,3.052632,0.578947,0.315789,0.789474,4.894737,45.105263,49.842105,96.368421,64.947368,38.947368,40.052632,13,20.157895,8.947368,2.789474,0.157895,2.421053,1.052632,6.631579,4.052632,12.842105,30.105263,16.263158,0.157895,0.052632,0.105263,0.473684,0.105263,3.263158,9,542.157895,,,,,,,,,,,,,
CV,1.578947,0.947368,1.578947,0.263158,3.368421,2.210526,3.473684,1.894737,2.947368,19.578947,17.315789,9.263158,16.052632,10.421053,3.315789,3.105263,3.894737,5.473684,0.526316,0.789474,1,0.368421,0.526316,0.157895,3.789474,29.368421,36.157895,39.157895,23.473684,10.473684,6.052632,2.578947,2.842105,3.105263,0.052632,2.526316,27.947368,0,0.052632,2.947368,3.105263,1.684211,0.947368,16.210526,0.736842,1.526316,0.315789,0.789474,0.105263,0.421053,326.421053,,,,,,,,,,,,,
ED,2.473684,8.947368,1.263158,1.789474,6.947368,2.684211,10.157895,7.105263,8.526316,22.789474,50.526316,26.631579,30.684211,42.263158,15.526316,10,9.631579,10.421053,2.473684,2.157895,0.947368,0.421053,0.105263,0.631579,7.947368,68.894737,54.263158,86.315789,61.263158,21.263158,9.894737,2.842105,8.263158,11.210526,2.263158,26.210526,7.947368,0.368421,1.736842,2,1.105263,9.736842,2.105263,7.210526,7.052632,2.684211,3.684211,4.421053,0.368421,2.105263,688.263158,,,,,,,,,,,,,
NC,0.789474,1.368421,0.947368,0.473684,2.052632,0.157895,5.052632,6.578947,5.578947,1.894737,1.736842,1.263158,1.421053,2.315789,0.789474,0.578947,0.421053,0.105263,8.842105,5.421053,7.631579,2.105263,0.526316,2.421053,0.736842,16.842105,20.894737,27.052632,26.473684,5.578947,6.368421,1.105263,1.684211,1.578947,0.789474,0,0.789474,1.473684,8.157895,3.052632,0.842105,5.894737,0.210526,0.157895,1.631579,0,0.473684,0.263158,6.368421,6.473684,205.368421,,,,,,,,,,,,,
WP,3.157895,7,1.684211,2.842105,10.105263,2.368421,33.789474,22.894737,25.052632,1.947368,7.894737,6.947368,5.052632,2.947368,3.842105,3.631579,2.315789,2.315789,48.473684,19.684211,34.894737,5.368421,3.894737,10.368421,5.631579,64.631579,74.263158,115.526316,87.421053,42.473684,37.315789,9.894737,9.789474,11.473684,6.631579,0.263158,1.894737,7.368421,5.684211,4.157895,8.052632,20.105263,1.842105,0.210526,3.315789,2.052632,0.789474,0.894737,5.368421,13.315789,808.842105,,,,,,,,,,,,,
SS,6.263158,8,2.157895,1.210526,3.263158,1.894737,3.631579,3.052632,9.473684,2.631579,2.052632,2.526316,3.631579,4.526316,3.263158,1.894737,0.894737,1.157895,4.526316,2.789474,2.368421,0.105263,0.578947,1.315789,4.736842,35.894737,29.105263,69.789474,50.894737,28.789474,32.263158,6.894737,16.578947,14.210526,4.894737,2.631579,1.631579,2.684211,5.157895,3.157895,6.894737,14.473684,6.789474,0.789474,0,0.684211,0.368421,0.157895,0.789474,5.947368,419.421053,,,,,,,,,,,,,
SB,8.736842,7.947368,0.631579,0.736842,3.526316,4.210526,3.105263,4.789474,8.052632,1.368421,6.210526,5.210526,3.526316,5.421053,4.473684,2.210526,0.684211,1.736842,10.157895,3.631579,2.631579,0.684211,0.473684,1.157895,6,20.789474,38.473684,71.842105,47.789474,35.947368,34.789474,20.421053,36.315789,32.368421,10.421053,3.157895,1.052632,1.631579,8.157895,8.473684,3.157895,10.631579,7.736842,0.157895,1,0.210526,1.315789,0.263158,1.894737,4.263158,499.578947,,,,,,,,,,,,,
SO,5.684211,13.736842,3.263158,2.736842,4.105263,1.631579,8.526316,5.947368,8.526316,3.526316,6.631579,4.578947,7.157895,4.842105,4,1.842105,2.842105,2.473684,18.947368,11.736842,10.631579,4,3,5.157895,9.263158,11.684211,10.210526,37.736842,24.052632,15.684211,12.684211,8,21.263158,36.315789,22.526316,1.473684,8.368421,5.631579,20.315789,10.368421,9.842105,6.578947,24.894737,2.210526,1.631579,1,1.210526,0.157895,3.842105,24.789474,477.263158,,,,,,,,,,,,,
MB,6.052632,9.736842,4.421053,0.947368,8,2.315789,5.263158,3.947368,8.315789,1.684211,4.315789,5,2.894737,2.684211,3.368421,1.368421,0.684211,0.631579,5.789474,2.052632,2.210526,1.421053,0.842105,0.947368,5.631579,13.736842,26.473684,33.421053,35.736842,19.947368,18.473684,8.526316,24.947368,29.947368,11.947368,0.789474,1.842105,0.368421,2.368421,4.473684,4.473684,27,5.368421,0.157895,0.526316,0.421053,0.052632,0.052632,0.421053,4.684211,366.684211,,,,,,,,,,,,,
WD,0.842105,3.157895,1.210526,0.263158,2.631579,0.789474,2.052632,3.631579,2.263158,13.210526,21.947368,10.736842,17.157895,26.052632,7.789474,9.105263,5,2.631579,1.578947,0.263158,0.526316,0.105263,0,0.157895,2,24.157895,16.473684,25.631579,17.210526,6.631579,8.157895,4.631579,3.789474,2.473684,0.157895,16.842105,9.210526,0.789474,0.157895,0.263158,0.157895,2.157895,0.368421,3.473684,2.578947,1.105263,2.263158,1.473684,0.052632,1,286.315789,,,,,,,,,,,,,
OA,1.526316,3.210526,0.736842,1.105263,3.157895,1.105263,1.578947,1.789474,2.368421,1.842105,2.842105,3.736842,1.263158,0.789474,1.789474,1.105263,1.894737,1.736842,3.473684,2.736842,2.526316,1.105263,0.789474,1.315789,1,4.052632,3.789474,4.789474,4.315789,3.052632,1.684211,0.736842,2.421053,1.105263,0.052632,0.526316,5.315789,1.315789,4.473684,0.157895,0.947368,1.947368,0.105263,2.263158,1.263158,0.684211,1.157895,1,0.894737,3.789474,98.368421,,,,,,,,,,,,,
WS,5.315789,4.473684,1.526316,3.315789,4.842105,3.578947,4.315789,6.684211,6.052632,13.736842,18.157895,10.947368,13.947368,11.894737,17.631579,12.263158,19.631579,11.473684,2.947368,1.526316,0.421053,0.578947,0.105263,0.157895,2.526316,9.631579,11.421053,8.842105,7.315789,4.473684,1.947368,1.052632,2.157895,2.684211,0.105263,0.789474,3.421053,0,1.631579,0.684211,0.263158,1.736842,0.157895,1.157895,0.789474,2.736842,16.578947,12.421053,0.210526,0.368421,270.631579,,,,,,,,,,,,,
ML,0.894737,2.263158,2.210526,1.421053,3.052632,1.842105,4.578947,4.789474,4,5.631579,8.368421,4.210526,4.684211,5.736842,15.368421,9.684211,12.947368,17.315789,1.789474,0.578947,0.421053,0,0.157895,1.052632,0.631579,7.421053,7.157895,8.315789,11.473684,3.052632,2.526316,0.894737,0.789474,2.105263,0.473684,1.526316,3.736842,0.684211,1.052632,0.368421,0.736842,1.631579,0,1.631579,1.315789,16.736842,4.052632,3.684211,0.578947,0.842105,196.421053,,,,,,,,,,,,,
BE,3.789474,5.052632,2.052632,1,7.684211,3.842105,3.526316,4.526316,5.263158,9.315789,11.157895,6.631579,7.842105,6,12.052632,9.157895,8.157895,15.894737,3.105263,1.105263,0.842105,0.105263,0.157895,0.473684,3.526316,11.052632,9.315789,17.631579,15,4.473684,3.578947,0.631579,1.210526,2.315789,0.263158,0.789474,3.578947,0.526316,1.210526,0.157895,0.210526,0.526316,0.052632,1.315789,0.315789,12.947368,3.263158,3.842105,0.105263,1.368421,227.947368,,,,,,,,,,,,,
PC,2.631579,2.842105,1.210526,0.263158,3.894737,0.631579,15.368421,7.315789,8.052632,1,3.631579,3.157895,5.578947,1.684211,2.315789,1.736842,1.157895,0.578947,27.894737,11.052632,16.631579,5.631579,2.157895,3.631579,3.105263,23.052632,15.526316,30.315789,21.421053,13.894737,10.894737,5.421053,3.315789,4.157895,1.947368,0.105263,0.578947,4.894737,3.578947,0.473684,1.578947,4.210526,0.368421,0.052632,0.157895,0.421053,0.578947,0.421053,2.789474,9,292.315789,,,,,,,,,,,,,
