Exit stations,Entry stations->,,WEEKDAY,,,Aug 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
GP,41.478261,78,31.217391,28.434783,131.826087,37.913043,73.695652,164.913043,172.130435,60.521739,69.73913,72.565217,45.73913,34.434783,30.086957,14.130435,14,19.913043,42.086957,49.347826,50.478261,17.434783,20.565217,48.521739,72.652174,1213.26087,1429,1240.826087,695.26087,314.086957,255.695652,27.434783,115.130435,66.391304,53.956522,20.347826,71,18.173913,44.73913,36.782609,62.304348,113.130435,129.565217,26.695652,18.086957,13.956522,0,0,12.26087,33.608696,7433.521739,,,,,,,,,,,,,,
BP,62.608696,89.478261,29.391304,29.26087,98.608696,34.826087,69,123.826087,182.478261,74.608696,77.956522,65.217391,68.478261,41.73913,31.565217,23.130435,20.652174,26.478261,48.521739,40.304348,38.565217,10.434783,13,32,77.652174,1528.26087,1943,2513.565217,1249.391304,526.173913,480.347826,109.695652,44.652174,83.869565,71.434783,18.086957,66.869565,15.608696,45.086957,53.565217,109,112.565217,137.478261,23.521739,9.869565,11.826087,0,0,9.347826,35.26087,10608.26087,,,,,,,,,,,,,,
DC,64.391304,109.608696,36.826087,31.73913,104.173913,37.130435,65.826087,138.73913,200.391304,78.478261,98.26087,114.521739,75.26087,53.608696,39.565217,39.130435,39.26087,49.913043,66.304348,58.086957,58.347826,16.782609,16.434783,30.130435,57.695652,1388.217391,1768.086957,1469.130435,838.608696,316.826087,269.217391,64.608696,102.391304,29.695652,41.391304,26.434783,95.652174,29.304348,58.913043,60.086957,115.826087,204.565217,245,37.826087,18.521739,24.565217,0,0,13.608696,48.956522,8948.043478,,,,,,,,,,,,,,
CM,15.869565,24.173913,6.304348,6.826087,31.695652,9.565217,20.913043,66.565217,118.608696,13.391304,6.26087,19.391304,9.782609,8.956522,5.043478,8.521739,7.043478,5.391304,28.782609,11.956522,19.391304,7,2.826087,4.956522,18.565217,870.956522,988.608696,624.608696,476.956522,143.434783,123.391304,48.565217,76.478261,38.391304,13.130435,3.826087,19.956522,3.26087,18.173913,15.565217,40.826087,131.217391,89.695652,3.434783,2.521739,1.73913,0,0,2.73913,15.304348,4230.565217,,,,,,,,,,,,,,
CV,5,8.217391,5.043478,6.26087,51.304348,9,20.826087,70.521739,114.347826,110.347826,51.304348,119.26087,40.565217,53.652174,18.956522,14.565217,17.869565,30.304348,5.130435,3.173913,4,0.652174,1.782609,4.913043,12.130435,543.086957,559.434783,274.434783,256.173913,82.347826,32.869565,24.391304,22.434783,29.608696,4.391304,8.652174,100.695652,1.608696,1.391304,2.869565,7,24.478261,6.347826,68.478261,9,12.608696,0,0,0.565217,1.956522,2853.956522,,,,,,,,,,,,,,
ED,17.173913,29.565217,14.434783,14.347826,139.043478,21.347826,67.521739,231.652174,258.782609,187.826087,135.652174,416.652174,112.043478,136.173913,66.782609,39.086957,70.086957,76.869565,8.304348,5.347826,7.173913,2.478261,2.695652,10.043478,34.043478,2128.565217,1842.782609,698.304348,675.913043,231,84.565217,74.217391,78.608696,96.173913,18.043478,107.73913,44.695652,1.565217,4.695652,23.521739,14.217391,131.956522,18.826087,48.869565,83.434783,25.869565,0,0,1.782609,4.130435,8544.608696,,,,,,,,,,,,,,
NC,3.869565,7,4.782609,5.869565,31.913043,7.521739,46.652174,126.869565,123.173913,7.826087,8.782609,29.173913,11.434783,6.521739,7.434783,1.347826,2.434783,7.391304,45.956522,34.478261,58.695652,11.347826,5.521739,22.956522,6.521739,367.26087,355.26087,215.304348,220.304348,66.565217,38.521739,17.347826,18.347826,26.608696,3.217391,1.304348,1.652174,9.304348,29.434783,9.173913,11,56.695652,8.217391,0.608696,13.217391,3.869565,0,0,15,23.130435,2136.826087,,,,,,,,,,,,,,
WP,18.608696,14.478261,5.565217,9.130435,67.478261,15.608696,141.521739,174.130435,213.434783,20.391304,25.521739,53.130435,16.521739,8.826087,21.086957,9.391304,9.73913,15.391304,163.73913,72.826087,136.73913,25.347826,14.391304,36.26087,15.304348,506.956522,507.043478,440.043478,405.347826,134.869565,111.478261,49.173913,48.608696,58.478261,18.565217,1.695652,4.217391,30.652174,22.652174,23.826087,33.130435,130.695652,20.73913,2.869565,19.565217,11.826087,0,0,16.347826,28,3931.347826,,,,,,,,,,,,,,
SS,13.826087,29.826087,7.782609,8.173913,36,8.782609,28.826087,69.391304,89.73913,14.478261,13.391304,23.73913,13.086957,9.956522,7.521739,5.913043,5.173913,6.913043,27.086957,27.652174,22.73913,6.652174,9.608696,14.173913,20.913043,639.869565,753.782609,448.130435,387.173913,114.826087,104.130435,39.304348,62.347826,59.086957,17,3.956522,23.086957,8.913043,23.130435,14.869565,28.826087,63.652174,64.478261,6.956522,3.608696,3.869565,0,0,7,21.173913,3420.521739,,,,,,,,,,,,,,
SB,21.782609,41.173913,12.217391,10.043478,39.217391,14.869565,29.434783,74.173913,84.26087,18.347826,28.304348,30.73913,13.391304,19.913043,13.521739,6.826087,4.521739,7.521739,25.869565,33.826087,22,8,8.478261,11.826087,30.391304,649.478261,705.652174,453.391304,365.130435,141.26087,131.608696,63,123.478261,122.913043,44.130435,6,15.478261,10.826087,35,30.086957,15.652174,67.434783,46.086957,5.391304,5.695652,1.652174,0,0,5.565217,21.130435,3676.695652,,,,,,,,,,,,,,
SO,59.086957,126.478261,76.043478,97.73913,159.478261,70,124.521739,114.043478,133.434783,47.434783,68.173913,38.304348,46.565217,31.652174,21.608696,18.043478,23.782609,38.130435,153.695652,190.304348,184.391304,100.043478,96.26087,142.782609,139.826087,490.043478,506.956522,984.217391,450.956522,184.695652,169.086957,106.130435,117.73913,201.347826,137.956522,22,124.130435,63.956522,148.173913,56.652174,60.086957,61.869565,244.043478,38.304348,25.782609,16.782609,0,0,20.086957,89.304348,6622.130435,,,,,,,,,,,,,,
MB,28.695652,68.391304,28.782609,42.73913,167.869565,34.043478,63.826087,122.391304,143.391304,20.869565,29.913043,33.826087,11.652174,10.347826,7.565217,3.73913,2.565217,3.043478,31.130435,24.391304,24.73913,10.869565,10.826087,20.782609,35.73913,1057.217391,1354.434783,654.434783,554.347826,225.782609,199.565217,122.26087,147.478261,234.173913,89.217391,5,18.782609,8.391304,25.478261,65.173913,37,242,47.73913,7.347826,8.782609,2.086957,0,0,5.913043,17.782609,6112.521739,,,,,,,,,,,,,,
WD,4.956522,14.173913,8.652174,8.695652,60.130435,15.173913,30.652174,119.826087,126.304348,93.782609,67,178.26087,51,83.304348,40.565217,19.130435,29.217391,29.956522,2.956522,3.521739,2.347826,0.73913,0.956522,4.652174,8.565217,873.608696,791.826087,320.956522,301.130435,88.478261,41.347826,29.391304,28.652174,43.304348,3.913043,82.347826,44.869565,0.956522,3.695652,8.608696,5.73913,48.695652,8.086957,21.73913,35.217391,14.434783,0,0,0.608696,2.347826,3804.478261,,,,,,,,,,,,,,
